handcrafted:acacia_bench | minecraft:crafting_shaped | handcrafted:acacia_bench minecraft:acacia_planks minecraft:acacia_slab minecraft:crafting_shaped
handcrafted:acacia_chair | minecraft:crafting_shaped | handcrafted:acacia_chair minecraft:acacia_planks minecraft:acacia_slab minecraft:crafting_shaped minecraft:stick
handcrafted:acacia_corner_trim | minecraft:crafting_shaped | handcrafted:acacia_corner_trim minecraft:acacia_planks minecraft:crafting_shaped
handcrafted:acacia_couch | minecraft:crafting_shaped | handcrafted:acacia_couch handcrafted:cushions minecraft:acacia_planks minecraft:crafting_shaped minecraft:wool
handcrafted:acacia_counter | minecraft:crafting_shaped | handcrafted:acacia_counter handcrafted:chests minecraft:acacia_planks minecraft:calcite minecraft:crafting_shaped
handcrafted:acacia_cupboard | minecraft:crafting_shaped | handcrafted:acacia_cupboard handcrafted:chests minecraft:acacia_planks minecraft:crafting_shaped
handcrafted:acacia_desk | minecraft:crafting_shaped | handcrafted:acacia_desk handcrafted:chests minecraft:acacia_planks minecraft:acacia_slab minecraft:crafting_shaped
handcrafted:acacia_dining_bench | minecraft:crafting_shaped | handcrafted:acacia_dining_bench minecraft:acacia_planks minecraft:acacia_slab minecraft:crafting_shaped
handcrafted:acacia_drawer | minecraft:crafting_shaped | handcrafted:acacia_drawer handcrafted:chests minecraft:acacia_planks minecraft:acacia_slab minecraft:crafting_shaped
handcrafted:acacia_fancy_bed | minecraft:crafting_shaped | handcrafted:acacia_fancy_bed handcrafted:cushions handcrafted:sheets minecraft:acacia_planks minecraft:crafting_shaped minecraft:wool
handcrafted:acacia_nightstand | minecraft:crafting_shaped | handcrafted:acacia_nightstand handcrafted:chests minecraft:acacia_planks minecraft:crafting_shaped
handcrafted:acacia_pillar_trim | minecraft:crafting_shaped | handcrafted:acacia_pillar_trim minecraft:acacia_planks minecraft:crafting_shaped
handcrafted:acacia_shelf | minecraft:crafting_shaped | handcrafted:acacia_shelf handcrafted:chests minecraft:acacia_planks minecraft:acacia_slab minecraft:crafting_shaped
handcrafted:acacia_side_table | minecraft:crafting_shaped | handcrafted:acacia_side_table handcrafted:chests minecraft:acacia_planks minecraft:acacia_slab minecraft:crafting_shaped
handcrafted:acacia_table | minecraft:crafting_shaped | handcrafted:acacia_table minecraft:acacia_planks minecraft:crafting_shaped minecraft:stick
handcrafted:andesite_corner_trim | minecraft:crafting_shaped | handcrafted:andesite_corner_trim minecraft:andesite minecraft:crafting_shaped
handcrafted:andesite_pillar_trim | minecraft:crafting_shaped | handcrafted:andesite_pillar_trim minecraft:andesite minecraft:crafting_shaped
handcrafted:bamboo_bench | minecraft:crafting_shaped | handcrafted:bamboo_bench minecraft:bamboo_planks minecraft:bamboo_slab minecraft:crafting_shaped
handcrafted:bamboo_chair | minecraft:crafting_shaped | handcrafted:bamboo_chair minecraft:bamboo_planks minecraft:bamboo_slab minecraft:crafting_shaped minecraft:stick
handcrafted:bamboo_corner_trim | minecraft:crafting_shaped | handcrafted:bamboo_corner_trim minecraft:bamboo_planks minecraft:crafting_shaped
handcrafted:bamboo_couch | minecraft:crafting_shaped | handcrafted:bamboo_couch handcrafted:cushions minecraft:bamboo_planks minecraft:crafting_shaped minecraft:wool
handcrafted:bamboo_counter | minecraft:crafting_shaped | handcrafted:bamboo_counter handcrafted:chests minecraft:bamboo_planks minecraft:calcite minecraft:crafting_shaped
handcrafted:bamboo_cupboard | minecraft:crafting_shaped | handcrafted:bamboo_cupboard handcrafted:chests minecraft:bamboo_planks minecraft:crafting_shaped
handcrafted:bamboo_desk | minecraft:crafting_shaped | handcrafted:bamboo_desk handcrafted:chests minecraft:bamboo_planks minecraft:bamboo_slab minecraft:crafting_shaped
handcrafted:bamboo_dining_bench | minecraft:crafting_shaped | handcrafted:bamboo_dining_bench minecraft:bamboo_planks minecraft:bamboo_slab minecraft:crafting_shaped
handcrafted:bamboo_drawer | minecraft:crafting_shaped | handcrafted:bamboo_drawer handcrafted:chests minecraft:bamboo_planks minecraft:bamboo_slab minecraft:crafting_shaped
handcrafted:bamboo_fancy_bed | minecraft:crafting_shaped | handcrafted:bamboo_fancy_bed handcrafted:cushions handcrafted:sheets minecraft:bamboo_planks minecraft:crafting_shaped minecraft:wool
handcrafted:bamboo_nightstand | minecraft:crafting_shaped | handcrafted:bamboo_nightstand handcrafted:chests minecraft:bamboo_planks minecraft:crafting_shaped
handcrafted:bamboo_pillar_trim | minecraft:crafting_shaped | handcrafted:bamboo_pillar_trim minecraft:bamboo_planks minecraft:crafting_shaped
handcrafted:bamboo_shelf | minecraft:crafting_shaped | handcrafted:bamboo_shelf handcrafted:chests minecraft:bamboo_planks minecraft:bamboo_slab minecraft:crafting_shaped
handcrafted:bamboo_side_table | minecraft:crafting_shaped | handcrafted:bamboo_side_table handcrafted:chests minecraft:bamboo_planks minecraft:bamboo_slab minecraft:crafting_shaped
handcrafted:bamboo_table | minecraft:crafting_shaped | handcrafted:bamboo_table minecraft:bamboo_planks minecraft:crafting_shaped minecraft:stick
handcrafted:bear_trophy | minecraft:crafting_shaped | handcrafted:bear_trophy minecraft:cod minecraft:crafting_shaped minecraft:planks
handcrafted:bench | minecraft:crafting_shaped | handcrafted:bench minecraft:crafting_shaped minecraft:iron_bars minecraft:iron_ingot
handcrafted:berry_jam_jar | minecraft:crafting_shapeless | handcrafted:berry_jam_jar minecraft:crafting_shapeless minecraft:glass_bottle minecraft:sweet_berries
handcrafted:birch_bench | minecraft:crafting_shaped | handcrafted:birch_bench minecraft:birch_planks minecraft:birch_slab minecraft:crafting_shaped
handcrafted:birch_chair | minecraft:crafting_shaped | handcrafted:birch_chair minecraft:birch_planks minecraft:birch_slab minecraft:crafting_shaped minecraft:stick
handcrafted:birch_corner_trim | minecraft:crafting_shaped | handcrafted:birch_corner_trim minecraft:birch_planks minecraft:crafting_shaped
handcrafted:birch_couch | minecraft:crafting_shaped | handcrafted:birch_couch handcrafted:cushions minecraft:birch_planks minecraft:crafting_shaped minecraft:wool
handcrafted:birch_counter | minecraft:crafting_shaped | handcrafted:birch_counter handcrafted:chests minecraft:birch_planks minecraft:calcite minecraft:crafting_shaped
handcrafted:birch_cupboard | minecraft:crafting_shaped | handcrafted:birch_cupboard handcrafted:chests minecraft:birch_planks minecraft:crafting_shaped
handcrafted:birch_desk | minecraft:crafting_shaped | handcrafted:birch_desk handcrafted:chests minecraft:birch_planks minecraft:birch_slab minecraft:crafting_shaped
handcrafted:birch_dining_bench | minecraft:crafting_shaped | handcrafted:birch_dining_bench minecraft:birch_planks minecraft:birch_slab minecraft:crafting_shaped
handcrafted:birch_drawer | minecraft:crafting_shaped | handcrafted:birch_drawer handcrafted:chests minecraft:birch_planks minecraft:birch_slab minecraft:crafting_shaped
handcrafted:birch_fancy_bed | minecraft:crafting_shaped | handcrafted:birch_fancy_bed handcrafted:cushions handcrafted:sheets minecraft:birch_planks minecraft:crafting_shaped minecraft:wool
handcrafted:birch_nightstand | minecraft:crafting_shaped | handcrafted:birch_nightstand handcrafted:chests minecraft:birch_planks minecraft:crafting_shaped
handcrafted:birch_pillar_trim | minecraft:crafting_shaped | handcrafted:birch_pillar_trim minecraft:birch_planks minecraft:crafting_shaped
handcrafted:birch_shelf | minecraft:crafting_shaped | handcrafted:birch_shelf handcrafted:chests minecraft:birch_planks minecraft:birch_slab minecraft:crafting_shaped
handcrafted:birch_side_table | minecraft:crafting_shaped | handcrafted:birch_side_table handcrafted:chests minecraft:birch_planks minecraft:birch_slab minecraft:crafting_shaped
handcrafted:birch_table | minecraft:crafting_shaped | handcrafted:birch_table minecraft:birch_planks minecraft:crafting_shaped minecraft:stick
handcrafted:black_cushion | minecraft:crafting_shaped | handcrafted:black_cushion minecraft:black_wool minecraft:crafting_shaped minecraft:feather
handcrafted:black_sheet | minecraft:crafting_shapeless | handcrafted:black_sheet minecraft:black_wool minecraft:crafting_shapeless
handcrafted:blackstone_corner_trim | minecraft:crafting_shaped | handcrafted:blackstone_corner_trim minecraft:blackstone minecraft:crafting_shaped
handcrafted:blackstone_pillar_trim | minecraft:crafting_shaped | handcrafted:blackstone_pillar_trim minecraft:blackstone minecraft:crafting_shaped
