immersive_armors:bone_boots | minecraft:crafting_shaped | immersive_armors:bone_boots minecraft:bone minecraft:crafting_shaped
immersive_armors:bone_chestplate | minecraft:crafting_shaped | immersive_armors:bone_chestplate minecraft:bone minecraft:crafting_shaped
immersive_armors:bone_helmet | minecraft:crafting_shaped | immersive_armors:bone_helmet minecraft:bone minecraft:crafting_shaped
immersive_armors:bone_leggings | minecraft:crafting_shaped | immersive_armors:bone_leggings minecraft:bone minecraft:crafting_shaped
immersive_armors:divine_boots | minecraft:crafting_shaped | immersive_armors:divine_boots immersive_armors:robe_boots minecraft:crafting_shaped minecraft:gold_ingot
immersive_armors:divine_chestplate | minecraft:crafting_shaped | immersive_armors:divine_chestplate immersive_armors:robe_chestplate minecraft:crafting_shaped minecraft:gold_ingot minecraft:totem_of_undying
immersive_armors:divine_helmet | minecraft:crafting_shaped | immersive_armors:divine_helmet immersive_armors:robe_helmet minecraft:crafting_shaped minecraft:emerald minecraft:gold_ingot
immersive_armors:divine_leggings | minecraft:crafting_shaped | immersive_armors:divine_leggings immersive_armors:robe_leggings minecraft:crafting_shaped minecraft:gold_ingot
immersive_armors:heavy_boots | minecraft:crafting_shaped | immersive_armors:heavy_boots minecraft:crafting_shaped minecraft:iron_block minecraft:iron_ingot
immersive_armors:heavy_chestplate | minecraft:crafting_shaped | immersive_armors:heavy_chestplate minecraft:crafting_shaped minecraft:iron_block minecraft:iron_ingot
immersive_armors:heavy_helmet | minecraft:crafting_shaped | immersive_armors:heavy_helmet minecraft:crafting_shaped minecraft:iron_block minecraft:iron_ingot
immersive_armors:heavy_leggings | minecraft:crafting_shaped | immersive_armors:heavy_leggings minecraft:crafting_shaped minecraft:iron_block minecraft:iron_ingot
immersive_armors:prismarine_boots | minecraft:crafting_shaped | immersive_armors:prismarine_boots minecraft:crafting_shaped minecraft:prismarine_crystals minecraft:prismarine_shard
immersive_armors:prismarine_chestplate | minecraft:crafting_shaped | immersive_armors:prismarine_chestplate minecraft:crafting_shaped minecraft:heart_of_the_sea minecraft:prismarine_shard
immersive_armors:prismarine_helmet | minecraft:crafting_shaped | immersive_armors:prismarine_helmet minecraft:crafting_shaped minecraft:prismarine_crystals minecraft:prismarine_shard
immersive_armors:prismarine_leggings | minecraft:crafting_shaped | immersive_armors:prismarine_leggings minecraft:crafting_shaped minecraft:prismarine_crystals minecraft:prismarine_shard
immersive_armors:robe_boots | minecraft:crafting_shaped | immersive_armors:robe_boots minecraft:blaze_powder minecraft:crafting_shaped minecraft:wool
immersive_armors:robe_chestplate | minecraft:crafting_shaped | immersive_armors:robe_chestplate minecraft:blaze_powder minecraft:crafting_shaped minecraft:wool
immersive_armors:robe_helmet | minecraft:crafting_shaped | immersive_armors:robe_helmet minecraft:blaze_powder minecraft:crafting_shaped minecraft:wool
immersive_armors:robe_leggings | minecraft:crafting_shaped | immersive_armors:robe_leggings minecraft:blaze_powder minecraft:crafting_shaped minecraft:wool
immersive_armors:slime_boots | minecraft:crafting_shaped | immersive_armors:slime_boots minecraft:crafting_shaped minecraft:slime_ball
immersive_armors:slime_chestplate | minecraft:crafting_shaped | immersive_armors:slime_chestplate minecraft:crafting_shaped minecraft:slime_ball
immersive_armors:slime_helmet | minecraft:crafting_shaped | immersive_armors:slime_helmet minecraft:crafting_shaped minecraft:slime_ball
immersive_armors:slime_leggings | minecraft:crafting_shaped | immersive_armors:slime_leggings minecraft:crafting_shaped minecraft:slime_ball
immersive_armors:steampunk_boots | minecraft:crafting_shaped | immersive_armors:steampunk_boots minecraft:crafting_shaped minecraft:gold_ingot minecraft:piston
immersive_armors:steampunk_chestplate | minecraft:crafting_shaped | immersive_armors:steampunk_chestplate minecraft:clock minecraft:compass minecraft:crafting_shaped minecraft:gold_ingot minecraft:piston
immersive_armors:steampunk_helmet | minecraft:crafting_shaped | immersive_armors:steampunk_helmet minecraft:crafting_shaped minecraft:gold_ingot minecraft:redstone_torch minecraft:white_stained_glass
immersive_armors:steampunk_leggings | minecraft:crafting_shaped | immersive_armors:steampunk_leggings minecraft:crafting_shaped minecraft:gold_ingot minecraft:piston
immersive_armors:warrior_boots | minecraft:crafting_shaped | immersive_armors:warrior_boots minecraft:crafting_shaped minecraft:iron_ingot minecraft:leather_boots
immersive_armors:warrior_chestplate | minecraft:crafting_shaped | immersive_armors:warrior_chestplate minecraft:crafting_shaped minecraft:iron_ingot minecraft:leather minecraft:leather_chestplate
immersive_armors:warrior_helmet | minecraft:crafting_shaped | immersive_armors:warrior_helmet minecraft:bone minecraft:crafting_shaped minecraft:iron_ingot minecraft:leather_helmet
immersive_armors:warrior_leggings | minecraft:crafting_shaped | immersive_armors:warrior_leggings minecraft:crafting_shaped minecraft:iron_ingot minecraft:leather_leggings
immersive_armors:wither_boots | minecraft:crafting_shaped | immersive_armors:bone_boots immersive_armors:wither_boots minecraft:crafting_shaped minecraft:nether_brick
immersive_armors:wither_chestplate | minecraft:crafting_shaped | immersive_armors:bone_chestplate immersive_armors:wither_chestplate minecraft:crafting_shaped minecraft:nether_brick
immersive_armors:wither_helmet | minecraft:crafting_shaped | immersive_armors:bone_helmet immersive_armors:wither_helmet minecraft:crafting_shaped minecraft:nether_brick
immersive_armors:wither_leggings | minecraft:crafting_shaped | immersive_armors:bone_leggings immersive_armors:wither_leggings minecraft:crafting_shaped minecraft:nether_brick
immersive_armors:wooden_boots | minecraft:crafting_shaped | immersive_armors:wooden_boots minecraft:crafting_shaped minecraft:logs
immersive_armors:wooden_chestplate | minecraft:crafting_shaped | immersive_armors:wooden_chestplate minecraft:crafting_shaped minecraft:logs
immersive_armors:wooden_helmet | minecraft:crafting_shaped | immersive_armors:wooden_helmet minecraft:crafting_shaped minecraft:logs
immersive_armors:wooden_leggings | minecraft:crafting_shaped | immersive_armors:wooden_leggings minecraft:crafting_shaped minecraft:logs
