irons_spellbooks:affinity_ring | minecraft:crafting_shaped | irons_spellbooks:affinity_ring irons_spellbooks:mithril_scrap minecraft:bucket minecraft:crafting_shaped
irons_spellbooks:alchemist_cauldron | minecraft:crafting_shaped | c:ingots/iron irons_spellbooks:alchemist_cauldron irons_spellbooks:arcane_essence irons_spellbooks:cinder_essence minecraft:cauldron minecraft:crafting_shaped
irons_spellbooks:alchemist_cauldron/brew_epic_ink | irons_spellbooks:alchemist_cauldron_brew | c:ingots/gold irons_spellbooks:alchemist_cauldron_brew irons_spellbooks:epic_ink irons_spellbooks:rare_ink
irons_spellbooks:alchemist_cauldron/brew_evasion_elixir | irons_spellbooks:alchemist_cauldron_brew | irons_spellbooks:alchemist_cauldron_brew irons_spellbooks:evasion_elixir irons_spellbooks:instant_mana_three irons_spellbooks:potion minecraft:ender_pearl
irons_spellbooks:alchemist_cauldron/brew_greater_evasion_elixir | irons_spellbooks:alchemist_cauldron_brew | irons_spellbooks:alchemist_cauldron_brew irons_spellbooks:evasion_elixir irons_spellbooks:greater_evasion_elixir minecraft:dragon_breath
irons_spellbooks:alchemist_cauldron/brew_greater_healing_elixir | irons_spellbooks:alchemist_cauldron_brew | irons_spellbooks:alchemist_cauldron_brew irons_spellbooks:greater_healing_elixir irons_spellbooks:potion minecraft:amethyst_shard minecraft:strong_healing
irons_spellbooks:alchemist_cauldron/brew_greater_invisibility_elixir | irons_spellbooks:alchemist_cauldron_brew | irons_spellbooks:alchemist_cauldron_brew irons_spellbooks:greater_invisibility_elixir irons_spellbooks:invisibility_elixir minecraft:amethyst_cluster
irons_spellbooks:alchemist_cauldron/brew_greater_oakskin_elixir | irons_spellbooks:alchemist_cauldron_brew | irons_spellbooks:alchemist_cauldron_brew irons_spellbooks:greater_oakskin_elixir irons_spellbooks:oakskin_elixir minecraft:amethyst_shard
irons_spellbooks:alchemist_cauldron/brew_ice_venom | irons_spellbooks:alchemist_cauldron_brew | irons_spellbooks:alchemist_cauldron_brew irons_spellbooks:ice_venom irons_spellbooks:icy_fang minecraft:water
irons_spellbooks:alchemist_cauldron/brew_invisibility_elixir | irons_spellbooks:alchemist_cauldron_brew | irons_spellbooks:alchemist_cauldron_brew irons_spellbooks:invisibility_elixir irons_spellbooks:potion irons_spellbooks:shriving_stone minecraft:long_invisibility
irons_spellbooks:alchemist_cauldron/brew_legendary_ink | irons_spellbooks:alchemist_cauldron_brew | c:gems/amethyst irons_spellbooks:alchemist_cauldron_brew irons_spellbooks:epic_ink irons_spellbooks:legendary_ink
irons_spellbooks:alchemist_cauldron/brew_oakskin_elixir | irons_spellbooks:alchemist_cauldron_brew | irons_spellbooks:alchemist_cauldron_brew irons_spellbooks:oakskin_elixir irons_spellbooks:potion minecraft:oak_log minecraft:strong_healing
irons_spellbooks:alchemist_cauldron/brew_rare_ink | irons_spellbooks:alchemist_cauldron_brew | c:ingots/iron irons_spellbooks:alchemist_cauldron_brew irons_spellbooks:rare_ink irons_spellbooks:uncommon_ink
irons_spellbooks:alchemist_cauldron/brew_timeless_slurry | irons_spellbooks:alchemist_cauldron_brew | irons_spellbooks:alchemist_cauldron_brew irons_spellbooks:potion irons_spellbooks:timeless_slurry minecraft:echo_shard minecraft:mundane
irons_spellbooks:alchemist_cauldron/brew_uncommon_ink | irons_spellbooks:alchemist_cauldron_brew | c:ingots/copper irons_spellbooks:alchemist_cauldron_brew irons_spellbooks:common_ink irons_spellbooks:uncommon_ink
irons_spellbooks:alchemist_cauldron/empty_blood_vial | irons_spellbooks:alchemist_cauldron_empty | irons_spellbooks:alchemist_cauldron_empty irons_spellbooks:blood irons_spellbooks:blood_vial minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/empty_common_ink | irons_spellbooks:alchemist_cauldron_empty | irons_spellbooks:alchemist_cauldron_empty irons_spellbooks:common_ink minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/empty_epic_ink | irons_spellbooks:alchemist_cauldron_empty | irons_spellbooks:alchemist_cauldron_empty irons_spellbooks:epic_ink minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/empty_evasion_elixir | irons_spellbooks:alchemist_cauldron_empty | irons_spellbooks:alchemist_cauldron_empty irons_spellbooks:evasion_elixir minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/empty_greater_evasion_elixir | irons_spellbooks:alchemist_cauldron_empty | irons_spellbooks:alchemist_cauldron_empty irons_spellbooks:greater_evasion_elixir minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/empty_greater_healing_potion | irons_spellbooks:alchemist_cauldron_empty | irons_spellbooks:alchemist_cauldron_empty irons_spellbooks:greater_healing_elixir irons_spellbooks:greater_healing_potion minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/empty_greater_invisibility_elixir | irons_spellbooks:alchemist_cauldron_empty | irons_spellbooks:alchemist_cauldron_empty irons_spellbooks:greater_invisibility_elixir minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/empty_greater_oakskin_elixir | irons_spellbooks:alchemist_cauldron_empty | irons_spellbooks:alchemist_cauldron_empty irons_spellbooks:greater_oakskin_elixir minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/empty_ice_venom_vial | irons_spellbooks:alchemist_cauldron_empty | irons_spellbooks:alchemist_cauldron_empty irons_spellbooks:ice_venom irons_spellbooks:ice_venom_vial minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/empty_invisibility_elixir | irons_spellbooks:alchemist_cauldron_empty | irons_spellbooks:alchemist_cauldron_empty irons_spellbooks:invisibility_elixir minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/empty_legendary_ink | irons_spellbooks:alchemist_cauldron_empty | irons_spellbooks:alchemist_cauldron_empty irons_spellbooks:legendary_ink minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/empty_oakskin_elixir | irons_spellbooks:alchemist_cauldron_empty | irons_spellbooks:alchemist_cauldron_empty irons_spellbooks:oakskin_elixir minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/empty_rare_ink | irons_spellbooks:alchemist_cauldron_empty | irons_spellbooks:alchemist_cauldron_empty irons_spellbooks:rare_ink minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/empty_timeless_slurry | irons_spellbooks:alchemist_cauldron_empty | irons_spellbooks:alchemist_cauldron_empty irons_spellbooks:timeless_slurry minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/empty_uncommon_ink | irons_spellbooks:alchemist_cauldron_empty | irons_spellbooks:alchemist_cauldron_empty irons_spellbooks:uncommon_ink minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/empty_water_bucket | irons_spellbooks:alchemist_cauldron_empty | irons_spellbooks:alchemist_cauldron_empty minecraft:bucket minecraft:item.bucket.fill minecraft:water minecraft:water_bucket
