bakery:baking_station | minecraft:crafting_shaped | bakery:baker_station minecraft:bricks minecraft:crafting_shaped minecraft:sugar minecraft:wooden_slabs
bakery:banner_from_smithing_table | minecraft:smithing_transform | bakery:bakery_banner minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
bakery:blank_cake_interaction/apple_cupcake | bakery:blank_cake_interaction | bakery:apple_cupcake_block bakery:apple_jam bakery:blank_cake_interaction bakery:jar minecraft:slime_block_place
bakery:blank_cake_interaction/chocolate_cake | bakery:blank_cake_interaction | bakery:blank_cake_interaction bakery:chocolate_cake bakery:chocolate_jam bakery:jar minecraft:slime_block_place
bakery:blank_cake_interaction/chocolate_cookie | bakery:blank_cake_interaction | bakery:blank_cake_interaction bakery:chocolate_cookie_block bakery:chocolate_jam bakery:jar minecraft:slime_block_place
bakery:blank_cake_interaction/chocolate_gateau | bakery:blank_cake_interaction | bakery:blank_cake_interaction bakery:chocolate_gateau bakery:chocolate_truffle minecraft:slime_block_place
bakery:blank_cake_interaction/knife_cut | bakery:blank_cake_interaction | bakery:blank_cake_interaction bakery:cake_cut bakery:knives
bakery:blank_cake_interaction/rolling_pin | bakery:blank_cake_interaction | bakery:blank_cake_interaction bakery:rolling_pin minecraft:entity.generic.big_fall
bakery:blank_cake_interaction/strawberry_cake | bakery:blank_cake_interaction | bakery:blank_cake_interaction bakery:jar bakery:strawberry_cake bakery:strawberry_jam minecraft:slime_block_place
bakery:blank_cake_interaction/strawberry_cookie | bakery:blank_cake_interaction | bakery:blank_cake_interaction bakery:jar bakery:strawberry_cookie_block bakery:strawberry_jam minecraft:slime_block_place
bakery:blank_cake_interaction/strawberry_cupcake | bakery:blank_cake_interaction | bakery:blank_cake_interaction bakery:jar bakery:strawberry_cupcake_block bakery:strawberry_jam minecraft:slime_block_place
bakery:blank_cake_interaction/sweetberry_cake | bakery:blank_cake_interaction | bakery:blank_cake_interaction bakery:jar bakery:sweetberry_cake bakery:sweetberry_jam minecraft:slime_block_place
bakery:blank_cake_interaction/sweetberry_cookie | bakery:blank_cake_interaction | bakery:blank_cake_interaction bakery:jar bakery:sweetberry_cookie_block bakery:sweetberry_jam minecraft:slime_block_place
bakery:blank_cake_interaction/sweetberry_cupcake | bakery:blank_cake_interaction | bakery:blank_cake_interaction bakery:jar bakery:sweetberry_cupcake_block bakery:sweetberry_jam minecraft:slime_block_place
bakery:bread_crate | minecraft:crafting_shaped | bakery:baguette bakery:braided_bread bakery:bread bakery:bread_crate bakery:bun bakery:tray minecraft:crafting_shaped
bakery:bread_knife | minecraft:crafting_shaped | bakery:bread_knife minecraft:crafting_shaped minecraft:iron_ingot minecraft:planks
bakery:bread_with_jam | minecraft:crafting_shapeless | bakery:bread bakery:bread_with_jam bakery:jam minecraft:crafting_shapeless
bakery:breadbox | minecraft:crafting_shaped | bakery:breadbox minecraft:crafting_shaped minecraft:stick minecraft:wooden_slabs
bakery:brick_counter | minecraft:crafting_shaped | bakery:brick_counter minecraft:bricks minecraft:crafting_shaped minecraft:wooden_slabs
bakery:brown_dye_from_chocolate | minecraft:crafting_shapeless | bakery:chocolate_truffle minecraft:brown_dye minecraft:crafting_shapeless
bakery:cabinet | minecraft:crafting_shaped | bakery:cabinet minecraft:barrel minecraft:crafting_shaped minecraft:planks
bakery:cake_display | minecraft:crafting_shaped | bakery:cake_display minecraft:crafting_shaped minecraft:glass_pane minecraft:planks minecraft:wooden_slabs
bakery:cake_stand | minecraft:crafting_shaped | bakery:cake_stand minecraft:brick minecraft:crafting_shaped minecraft:glass_pane minecraft:white_dye
bakery:chocolate_box | minecraft:crafting_shaped | bakery:chocolate_box bakery:chocolate_truffle minecraft:chest minecraft:crafting_shaped
bakery:cupcake_display | minecraft:crafting_shaped | bakery:cupcake_display minecraft:crafting_shaped minecraft:iron_nugget minecraft:wooden_slabs
bakery:drawer | minecraft:crafting_shaped | bakery:drawer minecraft:barrel minecraft:crafting_shaped minecraft:planks
bakery:iron_bench | minecraft:crafting_shaped | bakery:iron_bench minecraft:crafting_shaped minecraft:iron_ingot minecraft:iron_nugget
bakery:iron_chair | minecraft:crafting_shaped | bakery:iron_chair minecraft:crafting_shaped minecraft:iron_ingot minecraft:iron_nugget
bakery:iron_table | minecraft:crafting_shaped | bakery:iron_table minecraft:crafting_shaped minecraft:iron_ingot minecraft:iron_nugget
bakery:jar | minecraft:crafting_shaped | bakery:jar minecraft:crafting_shaped minecraft:glass_pane minecraft:wooden_slabs
bakery:kitchen_sink | minecraft:crafting_shaped | bakery:kitchen_sink minecraft:bricks minecraft:crafting_shaped minecraft:iron_ingot
