farm_and_charm:barley_ball | minecraft:crafting_shaped | farm_and_charm:barley farm_and_charm:barley_ball minecraft:crafting_shaped
farm_and_charm:barley_from_ball | crafting_shapeless | farm_and_charm:barley farm_and_charm:barley_ball
farm_and_charm:beetroot_bag | minecraft:crafting_shaped | farm_and_charm:beetroot_bag minecraft:beetroot minecraft:crafting_shaped
farm_and_charm:beetroot_from_bag | minecraft:crafting_shapeless | farm_and_charm:beetroot_bag minecraft:beetroot minecraft:crafting_shapeless
farm_and_charm:carrot_bag | minecraft:crafting_shaped | farm_and_charm:carrot_bag minecraft:carrot minecraft:crafting_shaped
farm_and_charm:carrot_from_bag | minecraft:crafting_shapeless | farm_and_charm:carrot_bag minecraft:carrot minecraft:crafting_shapeless
farm_and_charm:cat_food_bag | minecraft:crafting_shaped | farm_and_charm:cat_food farm_and_charm:cat_food_bag minecraft:crafting_shaped
farm_and_charm:cat_food_from_bag | crafting_shapeless | farm_and_charm:cat_food farm_and_charm:cat_food_bag
farm_and_charm:cattlegrid | minecraft:crafting_shaped | farm_and_charm:cattlegrid minecraft:cobblestone minecraft:crafting_shaped minecraft:iron_nugget minecraft:stick
farm_and_charm:chicken_coop | minecraft:crafting_shaped | farm_and_charm:chicken_coop farm_and_charm:chicken_nest minecraft:crafting_shaped minecraft:iron_ingot minecraft:wooden_slabs
farm_and_charm:chicken_feed | crafting_shapeless | farm_and_charm:chicken_feed farm_and_charm:wheat minecraft:carrot minecraft:wheat_seeds
farm_and_charm:chicken_fence | minecraft:crafting_shaped | farm_and_charm:chicken_fence minecraft:crafting_shaped minecraft:iron_nugget minecraft:stick
farm_and_charm:chicken_nest | minecraft:crafting_shaped | farm_and_charm:chicken_nest minecraft:crafting_shaped minecraft:wheat
farm_and_charm:compost | minecraft:crafting_shaped | farm_and_charm:compost farm_and_charm:fertilizer minecraft:crafting_shaped
farm_and_charm:cooking_pot | minecraft:crafting_shaped | farm_and_charm:cooking_pot minecraft:crafting_shaped minecraft:iron_ingot minecraft:wooden_shovel
farm_and_charm:corn_bag | minecraft:crafting_shaped | farm_and_charm:corn farm_and_charm:corn_bag minecraft:crafting_shaped
farm_and_charm:corn_from_bag | crafting_shapeless | farm_and_charm:corn farm_and_charm:corn_bag
