meadow:alpine_salt_from_blasting_alpine_salt_ore | minecraft:blasting | meadow:alpine_salt meadow:alpine_salt_ore minecraft:blasting
meadow:alpine_salt_from_smelting_alpine_salt_ore | minecraft:smelting | meadow:alpine_salt meadow:alpine_salt_ore minecraft:smelting
meadow:artisan_glass_window | minecraft:crafting_shaped | meadow:artisan_glass_window meadow:pine_planks minecraft:crafting_shaped minecraft:yellow_stained_glass
meadow:artisan_glass_window_pane | minecraft:crafting_shaped | meadow:artisan_glass_window meadow:artisan_glass_window_pane minecraft:crafting_shaped
meadow:banner_from_smithing_table | minecraft:smithing_transform | meadow:meadow_banner minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
meadow:blue_dye_from_enzian | minecraft:crafting_shapeless | meadow:enzian minecraft:blue_dye minecraft:crafting_shapeless
meadow:blue_dye_from_eriophorum_tall | minecraft:crafting_shapeless | meadow:tall_eriophorum minecraft:blue_dye minecraft:crafting_shapeless
meadow:buffalo_meat_from_campfire_cooking | minecraft:campfire_cooking | meadow:cooked_buffalo_meat meadow:raw_buffalo_meat minecraft:campfire_cooking
meadow:buffalo_meat_from_smoking | minecraft:smoking | meadow:cooked_buffalo_meat meadow:raw_buffalo_meat minecraft:smoking
meadow:camera | minecraft:crafting_shaped | meadow:camera minecraft:crafting_shaped minecraft:redstone_lamp minecraft:stick
meadow:chambray_bed | minecraft:crafting_shaped | meadow:chambray_bed meadow:chambray_wool minecraft:crafting_shaped minecraft:planks
meadow:chambray_carpet | minecraft:crafting_shaped | meadow:chambray_carpet meadow:chambray_wool minecraft:crafting_shaped
meadow:cheese_form | minecraft:crafting_shaped | meadow:cheese_form minecraft:crafting_shaped minecraft:stick minecraft:wooden_slabs
meadow:cheese_form/amethyst_cheese_wheel | meadow:cheese | meadow:amethyst_cheese_wheel meadow:cheese meadow:rennet meadow:wooden_amethyst_milk_bucket
meadow:cheese_form/buffalo_cheese_wheel | meadow:cheese | meadow:buffalo_cheese_wheel meadow:cheese meadow:rennet meadow:wooden_buffalo_milk_bucket
meadow:cheese_form/cheese_wheel | meadow:cheese | c:milks meadow:cheese meadow:cheese_wheel meadow:rennet
meadow:cheese_form/goat_cheese_wheel | meadow:cheese | meadow:cheese meadow:goat_cheese_wheel meadow:rennet meadow:wooden_goat_milk_bucket
meadow:cheese_form/grain_cheese_wheel | meadow:cheese | meadow:cheese meadow:grain_cheese_wheel meadow:rennet meadow:wooden_grain_milk_bucket
meadow:cheese_form/sheep_cheese_wheel | meadow:cheese | meadow:cheese meadow:rennet meadow:sheep_cheese_wheel meadow:wooden_sheep_milk_bucket
meadow:cheese_form/warped_cheese_wheel | meadow:cheese | meadow:cheese meadow:rennet meadow:warped_cheese_wheel meadow:wooden_warped_milk_bucket
meadow:cheese_roll | minecraft:crafting_shaped | c:bread c:cheese meadow:cheese_roll minecraft:crafting_shaped
meadow:cheese_sandwich | minecraft:crafting_shaped | c:bread c:cheese meadow:cheese_sandwich minecraft:crafting_shaped
meadow:cheese_tart | minecraft:crafting_shaped | c:cheese c:eggs c:milk c:wheat meadow:cheese_tart minecraft:crafting_shaped
