vinery:acacia_lattice | minecraft:crafting_shaped | minecraft:acacia_planks minecraft:crafting_shaped minecraft:stick vinery:acacia_lattice
vinery:acacia_wine_rack_big | minecraft:crafting_shaped | minecraft:acacia_planks minecraft:acacia_slab minecraft:crafting_shaped vinery:acacia_wine_rack_big
vinery:acacia_wine_rack_mid | minecraft:crafting_shaped | minecraft:acacia_planks minecraft:crafting_shaped minecraft:glass_pane vinery:acacia_wine_rack_mid
vinery:acacia_wine_rack_small | minecraft:crafting_shaped | minecraft:acacia_planks minecraft:acacia_slab minecraft:crafting_shaped vinery:acacia_wine_rack_small
vinery:apple_bag | minecraft:crafting_shaped | minecraft:apple minecraft:crafting_shaped vinery:apple_bag
vinery:apple_fermenting/apple_juice | vinery:apple_fermenting | vinery:apple_fermenting vinery:apple_juice vinery:apple_mash
vinery:apple_fermenting/honey_bottle | vinery:apple_fermenting | minecraft:honey_bottle minecraft:honeycomb vinery:apple_fermenting
vinery:apple_mashing/apple_mash | vinery:apple_mashing | minecraft:apple vinery:apple_mash vinery:apple_mashing
vinery:apple_mashing/honey_comb | vinery:apple_mashing | minecraft:honeycomb minecraft:honeycomb_block vinery:apple_mashing
vinery:apple_wood | minecraft:crafting_shaped | minecraft:crafting_shaped vinery:apple_log vinery:apple_wood
vinery:apples | minecraft:crafting_shaped | minecraft:apple minecraft:crafting_shaped vinery:apple_bag
vinery:bamboo_lattice | minecraft:crafting_shaped | minecraft:bamboo_planks minecraft:crafting_shaped minecraft:stick vinery:bamboo_lattice
vinery:bamboo_wine_rack_big | minecraft:crafting_shaped | minecraft:bamboo_planks minecraft:bamboo_slab minecraft:crafting_shaped vinery:bamboo_wine_rack_big
vinery:bamboo_wine_rack_mid | minecraft:crafting_shaped | minecraft:bamboo_planks minecraft:crafting_shaped minecraft:glass_pane vinery:bamboo_wine_rack_mid
vinery:bamboo_wine_rack_small | minecraft:crafting_shaped | minecraft:bamboo_planks minecraft:bamboo_slab minecraft:crafting_shaped vinery:bamboo_wine_rack_small
vinery:banner_from_smithing_table | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform vinery:vinery_standard
vinery:birch_lattice | minecraft:crafting_shaped | minecraft:birch_planks minecraft:crafting_shaped minecraft:stick vinery:birch_lattice
vinery:birch_wine_rack_big | minecraft:crafting_shaped | minecraft:birch_planks minecraft:birch_slab minecraft:crafting_shaped vinery:birch_wine_rack_big
vinery:birch_wine_rack_mid | minecraft:crafting_shaped | minecraft:birch_planks minecraft:crafting_shaped minecraft:glass_pane vinery:birch_wine_rack_mid
vinery:birch_wine_rack_small | minecraft:crafting_shaped | minecraft:birch_planks minecraft:birch_slab minecraft:crafting_shaped vinery:birch_wine_rack_small
vinery:cherries | minecraft:crafting_shaped | minecraft:crafting_shaped vinery:cherry vinery:cherry_bag
vinery:cherry_bag | minecraft:crafting_shaped | minecraft:crafting_shaped vinery:cherry vinery:cherry_bag
vinery:cherry_lattice | minecraft:crafting_shaped | minecraft:cherry_planks minecraft:crafting_shaped minecraft:stick vinery:cherry_lattice
vinery:cherry_wine_rack_big | minecraft:crafting_shaped | minecraft:cherry_planks minecraft:cherry_slab minecraft:crafting_shaped vinery:cherry_wine_rack_big
