mcwdoors:acacia_bamboo_door | minecraft:crafting_shaped | mcwdoors:acacia_bamboo_door mcwdoors:print_bamboo minecraft:acacia_planks minecraft:crafting_shaped
mcwdoors:acacia_bark_glass_door | minecraft:crafting_shaped | mcwdoors:acacia_bark_glass_door minecraft:acacia_log minecraft:crafting_shaped minecraft:glass
mcwdoors:acacia_barn_door | minecraft:crafting_shaped | mcwdoors:acacia_barn_door minecraft:acacia_planks minecraft:crafting_shaped minecraft:stick
mcwdoors:acacia_barn_glass_door | minecraft:crafting_shaped | mcwdoors:acacia_barn_glass_door minecraft:acacia_planks minecraft:crafting_shaped minecraft:glass_pane
mcwdoors:acacia_beach_door | minecraft:crafting_shaped | mcwdoors:acacia_beach_door mcwdoors:print_jungle minecraft:acacia_planks minecraft:crafting_shaped
mcwdoors:acacia_classic_door | minecraft:crafting_shaped | mcwdoors:acacia_classic_door mcwdoors:print_oak minecraft:acacia_planks minecraft:crafting_shaped
mcwdoors:acacia_cottage_door | minecraft:crafting_shaped | mcwdoors:acacia_cottage_door mcwdoors:print_spruce minecraft:acacia_planks minecraft:crafting_shaped
mcwdoors:acacia_four_panel_door | minecraft:crafting_shaped | mcwdoors:acacia_four_panel_door mcwdoors:print_dark_oak minecraft:acacia_planks minecraft:crafting_shaped
mcwdoors:acacia_glass_door | minecraft:crafting_shaped | mcwdoors:acacia_glass_door minecraft:acacia_planks minecraft:crafting_shaped minecraft:glass_pane
mcwdoors:acacia_japanese2_door | minecraft:crafting_shaped | mcwdoors:acacia_japanese2_door minecraft:acacia_slab minecraft:crafting_shaped minecraft:paper
mcwdoors:acacia_japanese_door | minecraft:crafting_shaped | mcwdoors:acacia_japanese_door minecraft:acacia_planks minecraft:crafting_shaped minecraft:paper
mcwdoors:acacia_modern_door | minecraft:crafting_shaped | mcwdoors:acacia_modern_door minecraft:acacia_planks minecraft:crafting_shaped minecraft:glass_pane
mcwdoors:acacia_mystic_door | minecraft:crafting_shaped | mcwdoors:acacia_mystic_door mcwdoors:print_mystic minecraft:acacia_planks minecraft:crafting_shaped
mcwdoors:acacia_nether_door | minecraft:crafting_shaped | mcwdoors:acacia_nether_door mcwdoors:print_nether minecraft:acacia_planks minecraft:crafting_shaped
mcwdoors:acacia_paper_door | minecraft:crafting_shaped | mcwdoors:acacia_paper_door mcwdoors:print_birch minecraft:acacia_planks minecraft:crafting_shaped
mcwdoors:acacia_stable_door | minecraft:crafting_shaped | mcwdoors:acacia_stable_door minecraft:acacia_planks minecraft:crafting_shaped minecraft:iron_bars
mcwdoors:acacia_stable_head_door | minecraft:crafting_shaped | mcwdoors:acacia_stable_door mcwdoors:acacia_stable_head_door minecraft:crafting_shaped
mcwdoors:acacia_swamp_door | minecraft:crafting_shaped | mcwdoors:acacia_swamp_door mcwdoors:print_swamp minecraft:acacia_planks minecraft:crafting_shaped
mcwdoors:acacia_waffle_door | minecraft:crafting_shaped | mcwdoors:acacia_waffle_door mcwdoors:print_waffle minecraft:acacia_planks minecraft:crafting_shaped
mcwdoors:acacia_western_door | minecraft:crafting_shaped | mcwdoors:acacia_western_door minecraft:acacia_planks minecraft:acacia_slab minecraft:crafting_shaped
mcwdoors:acacia_whispering_door | minecraft:crafting_shaped | mcwdoors:acacia_whispering_door mcwdoors:print_whispering minecraft:acacia_planks minecraft:crafting_shaped
mcwdoors:bamboo_bark_glass_door | minecraft:crafting_shaped | mcwdoors:bamboo_bark_glass_door minecraft:bamboo minecraft:crafting_shaped minecraft:glass
mcwdoors:bamboo_barn_door | minecraft:crafting_shaped | mcwdoors:bamboo_barn_door minecraft:bamboo minecraft:crafting_shaped minecraft:stick
mcwdoors:bamboo_barn_glass_door | minecraft:crafting_shaped | mcwdoors:bamboo_barn_glass_door minecraft:bamboo minecraft:crafting_shaped minecraft:glass_pane
mcwdoors:bamboo_beach_door | minecraft:crafting_shaped | mcwdoors:bamboo_beach_door mcwdoors:print_jungle minecraft:bamboo minecraft:crafting_shaped
mcwdoors:bamboo_classic_door | minecraft:crafting_shaped | mcwdoors:bamboo_classic_door mcwdoors:print_oak minecraft:bamboo minecraft:crafting_shaped
