mcwfences:acacia_curved_gate | minecraft:crafting_shaped | mcwfences:acacia_curved_gate minecraft:acacia_log minecraft:acacia_planks minecraft:crafting_shaped
mcwfences:acacia_hedge | minecraft:crafting_shaped | mcwfences:acacia_hedge minecraft:acacia_leaves minecraft:crafting_shaped
mcwfences:acacia_highley_gate | minecraft:crafting_shaped | mcwfences:acacia_highley_gate minecraft:acacia_log minecraft:crafting_shaped minecraft:stick
mcwfences:acacia_horse_fence | minecraft:crafting_shaped | mcwfences:acacia_horse_fence minecraft:acacia_log minecraft:crafting_shaped minecraft:stick
mcwfences:acacia_picket_fence | minecraft:crafting_shaped | mcwfences:acacia_picket_fence minecraft:acacia_log minecraft:acacia_planks minecraft:crafting_shaped minecraft:stick
mcwfences:acacia_pyramid_gate | minecraft:crafting_shaped | mcwfences:acacia_pyramid_gate minecraft:acacia_log minecraft:acacia_planks minecraft:crafting_shaped minecraft:stick
mcwfences:acacia_stockade_fence | minecraft:crafting_shaped | mcwfences:acacia_stockade_fence minecraft:acacia_log minecraft:acacia_planks minecraft:crafting_shaped
mcwfences:acacia_wired_fence | minecraft:crafting_shaped | mcwfences:acacia_wired_fence minecraft:acacia_log minecraft:crafting_shaped minecraft:iron_bars minecraft:stick
mcwfences:acorn_metal_fence | minecraft:stonecutting | mcwfences:acorn_metal_fence minecraft:iron_bars minecraft:stonecutting
mcwfences:andesite_grass_topped_wall | minecraft:crafting_shaped | mcwfences:andesite_grass_topped_wall minecraft:andesite minecraft:crafting_shaped minecraft:dirt minecraft:polished_andesite
mcwfences:andesite_pillar_wall | minecraft:crafting_shaped | mcwfences:andesite_pillar_wall minecraft:andesite minecraft:crafting_shaped minecraft:polished_andesite
mcwfences:andesite_railing_gate | minecraft:crafting_shaped | mcwfences:andesite_railing_gate minecraft:crafting_shaped minecraft:iron_bars minecraft:polished_andesite
mcwfences:andesite_railing_gate_stonecutter | minecraft:stonecutting | mcwfences:andesite_railing_gate minecraft:andesite minecraft:stonecutting
mcwfences:azalea_hedge | minecraft:crafting_shaped | mcwfences:azalea_hedge minecraft:azalea_leaves minecraft:crafting_shaped
mcwfences:bamboo_curved_gate | minecraft:crafting_shaped | mcwfences:bamboo_curved_gate minecraft:bamboo_block minecraft:bamboo_planks minecraft:crafting_shaped
mcwfences:bamboo_fence | minecraft:crafting_shaped | mcwfences:bamboo_fence minecraft:bamboo minecraft:crafting_shaped
mcwfences:bamboo_highley_gate | minecraft:crafting_shaped | mcwfences:bamboo_highley_gate minecraft:crafting_shaped minecraft:stick minecraft:stripped_bamboo_block
mcwfences:bamboo_horse_fence | minecraft:crafting_shaped | mcwfences:bamboo_horse_fence minecraft:crafting_shaped minecraft:stick minecraft:stripped_bamboo_block
mcwfences:bamboo_picket_fence | minecraft:crafting_shaped | mcwfences:bamboo_picket_fence minecraft:bamboo_planks minecraft:crafting_shaped minecraft:stick minecraft:stripped_bamboo_block
mcwfences:bamboo_pyramid_gate | minecraft:crafting_shaped | mcwfences:bamboo_pyramid_gate minecraft:bamboo_planks minecraft:crafting_shaped minecraft:stick minecraft:stripped_bamboo_block
mcwfences:bamboo_stockade_fence | minecraft:crafting_shaped | mcwfences:bamboo_stockade_fence minecraft:bamboo_planks minecraft:crafting_shaped minecraft:stripped_bamboo_block
mcwfences:bamboo_wired_fence | minecraft:crafting_shaped | mcwfences:bamboo_wired_fence minecraft:crafting_shaped minecraft:iron_bars minecraft:stick minecraft:stripped_bamboo_block
mcwfences:bastion_metal_fence | minecraft:stonecutting | mcwfences:bastion_metal_fence minecraft:iron_bars minecraft:stonecutting
mcwfences:bastion_metal_fence_gate | minecraft:crafting_shaped | mcwfences:bastion_metal_fence mcwfences:bastion_metal_fence_gate minecraft:crafting_shaped
mcwfences:birch_curved_gate | minecraft:crafting_shaped | mcwfences:birch_curved_gate minecraft:birch_log minecraft:birch_planks minecraft:crafting_shaped
mcwfences:birch_hedge | minecraft:crafting_shaped | mcwfences:birch_hedge minecraft:birch_leaves minecraft:crafting_shaped
mcwfences:birch_highley_gate | minecraft:crafting_shaped | mcwfences:birch_highley_gate minecraft:birch_log minecraft:crafting_shaped minecraft:stick
mcwfences:birch_horse_fence | minecraft:crafting_shaped | mcwfences:birch_horse_fence minecraft:birch_log minecraft:crafting_shaped minecraft:stick
mcwfences:birch_picket_fence | minecraft:crafting_shaped | mcwfences:birch_picket_fence minecraft:birch_log minecraft:birch_planks minecraft:crafting_shaped minecraft:stick
mcwfences:birch_pyramid_gate | minecraft:crafting_shaped | mcwfences:birch_pyramid_gate minecraft:birch_log minecraft:birch_planks minecraft:crafting_shaped minecraft:stick
mcwfences:birch_stockade_fence | minecraft:crafting_shaped | mcwfences:birch_stockade_fence minecraft:birch_log minecraft:birch_planks minecraft:crafting_shaped
mcwfences:birch_wired_fence | minecraft:crafting_shaped | mcwfences:birch_wired_fence minecraft:birch_log minecraft:crafting_shaped minecraft:iron_bars minecraft:stick
mcwfences:blackstone_brick_railing_gate | minecraft:crafting_shaped | mcwfences:blackstone_brick_railing_gate minecraft:crafting_shaped minecraft:iron_bars minecraft:polished_blackstone_bricks
mcwfences:blackstone_grass_topped_wall | minecraft:crafting_shaped | mcwfences:blackstone_grass_topped_wall minecraft:blackstone minecraft:crafting_shaped minecraft:dirt minecraft:polished_blackstone_bricks
mcwfences:blackstone_pillar_wall | minecraft:crafting_shaped | mcwfences:blackstone_pillar_wall minecraft:blackstone minecraft:crafting_shaped minecraft:polished_blackstone_bricks
