mcwstairs:acacia_balcony | minecraft:crafting_shaped | mcwstairs:acacia_balcony minecraft:acacia_fence minecraft:crafting_shaped minecraft:stick
mcwstairs:acacia_bulk_stairs | minecraft:crafting_shaped | mcwstairs:acacia_bulk_stairs minecraft:acacia_log minecraft:crafting_shaped minecraft:stripped_acacia_log
mcwstairs:acacia_compact_stairs | minecraft:crafting_shaped | mcwstairs:acacia_compact_stairs minecraft:crafting_shaped minecraft:stripped_acacia_log
mcwstairs:acacia_loft_stairs | minecraft:crafting_shaped | mcwstairs:acacia_loft_stairs minecraft:crafting_shaped minecraft:stripped_acacia_log
mcwstairs:acacia_platform | minecraft:crafting_shaped | mcwstairs:acacia_platform minecraft:acacia_log minecraft:acacia_slab minecraft:crafting_shaped
mcwstairs:acacia_railing | minecraft:crafting_shaped | mcwstairs:acacia_balcony mcwstairs:acacia_railing minecraft:crafting_shaped
mcwstairs:acacia_skyline_stairs | minecraft:crafting_shaped | mcwstairs:acacia_skyline_stairs minecraft:acacia_log minecraft:crafting_shaped minecraft:stripped_acacia_log
mcwstairs:acacia_terrace_stairs | minecraft:crafting_shaped | mcwstairs:acacia_terrace_stairs minecraft:acacia_log minecraft:crafting_shaped minecraft:stripped_acacia_log
mcwstairs:andesite_balcony | minecraft:stonecutting | mcwstairs:andesite_balcony minecraft:andesite minecraft:stonecutting
mcwstairs:andesite_bulk_stairs | minecraft:stonecutting | mcwstairs:andesite_bulk_stairs minecraft:andesite minecraft:stonecutting
mcwstairs:andesite_compact_stairs | minecraft:stonecutting | mcwstairs:andesite_compact_stairs minecraft:andesite minecraft:stonecutting
mcwstairs:andesite_loft_stairs | minecraft:stonecutting | mcwstairs:andesite_loft_stairs minecraft:andesite minecraft:stonecutting
mcwstairs:andesite_platform | minecraft:stonecutting | mcwstairs:andesite_platform minecraft:andesite minecraft:stonecutting
mcwstairs:andesite_railing | minecraft:stonecutting | mcwstairs:andesite_railing minecraft:andesite minecraft:stonecutting
mcwstairs:andesite_skyline_stairs | minecraft:stonecutting | mcwstairs:andesite_skyline_stairs minecraft:andesite minecraft:stonecutting
mcwstairs:andesite_terrace_stairs | minecraft:stonecutting | mcwstairs:andesite_terrace_stairs minecraft:andesite minecraft:stonecutting
mcwstairs:birch_balcony | minecraft:crafting_shaped | mcwstairs:birch_balcony minecraft:birch_fence minecraft:crafting_shaped minecraft:stick
mcwstairs:birch_bulk_stairs | minecraft:crafting_shaped | mcwstairs:birch_bulk_stairs minecraft:birch_log minecraft:crafting_shaped minecraft:stripped_birch_log
mcwstairs:birch_compact_stairs | minecraft:crafting_shaped | mcwstairs:birch_compact_stairs minecraft:crafting_shaped minecraft:stripped_birch_log
mcwstairs:birch_loft_stairs | minecraft:crafting_shaped | mcwstairs:birch_loft_stairs minecraft:crafting_shaped minecraft:stripped_birch_log
mcwstairs:birch_platform | minecraft:crafting_shaped | mcwstairs:birch_platform minecraft:birch_log minecraft:birch_slab minecraft:crafting_shaped
mcwstairs:birch_railing | minecraft:crafting_shaped | mcwstairs:birch_balcony mcwstairs:birch_railing minecraft:crafting_shaped
mcwstairs:birch_skyline_stairs | minecraft:crafting_shaped | mcwstairs:birch_skyline_stairs minecraft:birch_log minecraft:crafting_shaped minecraft:stripped_birch_log
mcwstairs:birch_terrace_stairs | minecraft:crafting_shaped | mcwstairs:birch_terrace_stairs minecraft:birch_log minecraft:crafting_shaped minecraft:stripped_birch_log
mcwstairs:blackstone_balcony | minecraft:stonecutting | mcwstairs:blackstone_balcony minecraft:blackstone minecraft:stonecutting
mcwstairs:blackstone_bulk_stairs | minecraft:stonecutting | mcwstairs:blackstone_bulk_stairs minecraft:blackstone minecraft:stonecutting
mcwstairs:blackstone_compact_stairs | minecraft:stonecutting | mcwstairs:blackstone_compact_stairs minecraft:blackstone minecraft:stonecutting
mcwstairs:blackstone_loft_stairs | minecraft:stonecutting | mcwstairs:blackstone_loft_stairs minecraft:blackstone minecraft:stonecutting
mcwstairs:blackstone_platform | minecraft:stonecutting | mcwstairs:blackstone_platform minecraft:blackstone minecraft:stonecutting
mcwstairs:blackstone_railing | minecraft:stonecutting | mcwstairs:blackstone_railing minecraft:blackstone minecraft:stonecutting
mcwstairs:blackstone_skyline_stairs | minecraft:stonecutting | mcwstairs:blackstone_skyline_stairs minecraft:blackstone minecraft:stonecutting
mcwstairs:blackstone_terrace_stairs | minecraft:stonecutting | mcwstairs:blackstone_terrace_stairs minecraft:blackstone minecraft:stonecutting
mcwstairs:brick_balcony | minecraft:stonecutting | mcwstairs:brick_balcony minecraft:bricks minecraft:stonecutting
mcwstairs:brick_bulk_stairs | minecraft:stonecutting | mcwstairs:brick_bulk_stairs minecraft:bricks minecraft:stonecutting
mcwstairs:brick_compact_stairs | minecraft:stonecutting | mcwstairs:brick_compact_stairs minecraft:bricks minecraft:stonecutting
mcwstairs:brick_loft_stairs | minecraft:stonecutting | mcwstairs:brick_loft_stairs minecraft:bricks minecraft:stonecutting
mcwstairs:brick_platform | minecraft:stonecutting | mcwstairs:brick_platform minecraft:bricks minecraft:stonecutting
mcwstairs:brick_railing | minecraft:stonecutting | mcwstairs:brick_railing minecraft:bricks minecraft:stonecutting
mcwstairs:brick_skyline_stairs | minecraft:stonecutting | mcwstairs:brick_skyline_stairs minecraft:bricks minecraft:stonecutting
mcwstairs:brick_terrace_stairs | minecraft:stonecutting | mcwstairs:brick_terrace_stairs minecraft:bricks minecraft:stonecutting
mcwstairs:cherry_balcony | minecraft:crafting_shaped | mcwstairs:cherry_balcony minecraft:cherry_fence minecraft:crafting_shaped minecraft:stick
mcwstairs:cherry_bulk_stairs | minecraft:crafting_shaped | mcwstairs:cherry_bulk_stairs minecraft:cherry_log minecraft:crafting_shaped minecraft:stripped_cherry_log
mcwstairs:cherry_compact_stairs | minecraft:crafting_shaped | mcwstairs:cherry_compact_stairs minecraft:crafting_shaped minecraft:stripped_cherry_log
mcwstairs:cherry_loft_stairs | minecraft:crafting_shaped | mcwstairs:cherry_loft_stairs minecraft:crafting_shaped minecraft:stripped_cherry_log
mcwstairs:cherry_platform | minecraft:crafting_shaped | mcwstairs:cherry_platform minecraft:cherry_log minecraft:cherry_slab minecraft:crafting_shaped
mcwstairs:cherry_railing | minecraft:crafting_shaped | mcwstairs:cherry_balcony mcwstairs:cherry_railing minecraft:crafting_shaped
mcwstairs:cherry_skyline_stairs | minecraft:crafting_shaped | mcwstairs:cherry_skyline_stairs minecraft:cherry_log minecraft:crafting_shaped minecraft:stripped_cherry_log
mcwstairs:cherry_terrace_stairs | minecraft:crafting_shaped | mcwstairs:cherry_terrace_stairs minecraft:cherry_log minecraft:crafting_shaped minecraft:stripped_cherry_log
mcwstairs:cobbled_deepslate_balcony | minecraft:stonecutting | mcwstairs:cobbled_deepslate_balcony minecraft:cobbled_deepslate minecraft:stonecutting
mcwstairs:cobbled_deepslate_bulk_stairs | minecraft:stonecutting | mcwstairs:cobbled_deepslate_bulk_stairs minecraft:cobbled_deepslate minecraft:stonecutting
mcwstairs:cobbled_deepslate_compact_stairs | minecraft:stonecutting | mcwstairs:cobbled_deepslate_compact_stairs minecraft:cobbled_deepslate minecraft:stonecutting
mcwstairs:cobbled_deepslate_loft_stairs | minecraft:stonecutting | mcwstairs:cobbled_deepslate_loft_stairs minecraft:cobbled_deepslate minecraft:stonecutting
mcwstairs:cobbled_deepslate_platform | minecraft:stonecutting | mcwstairs:cobbled_deepslate_platform minecraft:cobbled_deepslate minecraft:stonecutting
mcwstairs:cobbled_deepslate_railing | minecraft:stonecutting | mcwstairs:cobbled_deepslate_railing minecraft:cobbled_deepslate minecraft:stonecutting
mcwstairs:cobbled_deepslate_skyline_stairs | minecraft:stonecutting | mcwstairs:cobbled_deepslate_skyline_stairs minecraft:cobbled_deepslate minecraft:stonecutting
mcwstairs:cobbled_deepslate_terrace_stairs | minecraft:stonecutting | mcwstairs:cobbled_deepslate_terrace_stairs minecraft:cobbled_deepslate minecraft:stonecutting
mcwstairs:cobblestone_balcony | minecraft:stonecutting | mcwstairs:cobblestone_balcony minecraft:cobblestone minecraft:stonecutting
mcwstairs:cobblestone_bulk_stairs | minecraft:stonecutting | mcwstairs:cobblestone_bulk_stairs minecraft:cobblestone minecraft:stonecutting
mcwstairs:cobblestone_compact_stairs | minecraft:stonecutting | mcwstairs:cobblestone_compact_stairs minecraft:cobblestone minecraft:stonecutting
mcwstairs:cobblestone_loft_stairs | minecraft:stonecutting | mcwstairs:cobblestone_loft_stairs minecraft:cobblestone minecraft:stonecutting
mcwstairs:cobblestone_platform | minecraft:stonecutting | mcwstairs:cobblestone_platform minecraft:cobblestone minecraft:stonecutting
mcwstairs:cobblestone_railing | minecraft:stonecutting | mcwstairs:cobblestone_railing minecraft:cobblestone minecraft:stonecutting
mcwstairs:cobblestone_skyline_stairs | minecraft:stonecutting | mcwstairs:cobblestone_skyline_stairs minecraft:cobblestone minecraft:stonecutting
mcwstairs:cobblestone_terrace_stairs | minecraft:stonecutting | mcwstairs:cobblestone_terrace_stairs minecraft:cobblestone minecraft:stonecutting
mcwstairs:crimson_balcony | minecraft:crafting_shaped | mcwstairs:crimson_balcony minecraft:crafting_shaped minecraft:crimson_fence minecraft:stick
mcwstairs:crimson_bulk_stairs | minecraft:crafting_shaped | mcwstairs:crimson_bulk_stairs minecraft:crafting_shaped minecraft:crimson_stem minecraft:stripped_crimson_stem
mcwstairs:crimson_compact_stairs | minecraft:crafting_shaped | mcwstairs:crimson_compact_stairs minecraft:crafting_shaped minecraft:stripped_crimson_stem
