mcwwindows:acacia_blinds | minecraft:crafting_shaped | mcwwindows:acacia_blinds minecraft:acacia_slab minecraft:crafting_shaped minecraft:stick
mcwwindows:acacia_curtain_rod | minecraft:crafting_shaped | mcwwindows:acacia_curtain_rod minecraft:acacia_log minecraft:crafting_shaped minecraft:stick
mcwwindows:acacia_four_window | minecraft:crafting_shaped | mcwwindows:acacia_four_window mcwwindows:window_centre_bar_base minecraft:acacia_log minecraft:crafting_shaped
mcwwindows:acacia_log_parapet | minecraft:crafting_shaped | mcwwindows:acacia_log_parapet minecraft:acacia_log minecraft:crafting_shaped minecraft:stick
mcwwindows:acacia_louvered_shutter | minecraft:crafting_shaped | mcwwindows:acacia_louvered_shutter minecraft:acacia_slab minecraft:crafting_shaped
mcwwindows:acacia_pane_window | minecraft:crafting_shaped | mcwwindows:acacia_pane_window mcwwindows:window_base minecraft:acacia_log minecraft:crafting_shaped
mcwwindows:acacia_plank_four_window | minecraft:crafting_shaped | mcwwindows:acacia_plank_four_window mcwwindows:window_centre_bar_base minecraft:acacia_planks minecraft:crafting_shaped
mcwwindows:acacia_plank_pane_window | minecraft:crafting_shaped | mcwwindows:acacia_plank_pane_window mcwwindows:window_base minecraft:acacia_planks minecraft:crafting_shaped
mcwwindows:acacia_plank_parapet | minecraft:crafting_shaped | mcwwindows:acacia_plank_parapet minecraft:acacia_planks minecraft:crafting_shaped minecraft:stick
mcwwindows:acacia_plank_window | minecraft:crafting_shaped | mcwwindows:acacia_plank_window mcwwindows:window_base minecraft:acacia_planks minecraft:crafting_shaped
mcwwindows:acacia_plank_window2 | minecraft:crafting_shaped | mcwwindows:acacia_plank_window2 mcwwindows:window_half_bar_base minecraft:acacia_planks minecraft:crafting_shaped
mcwwindows:acacia_shutter | minecraft:crafting_shaped | mcwwindows:acacia_shutter minecraft:acacia_trapdoor minecraft:crafting_shaped
mcwwindows:acacia_window | minecraft:crafting_shaped | mcwwindows:acacia_window mcwwindows:window_base minecraft:acacia_log minecraft:crafting_shaped
mcwwindows:acacia_window2 | minecraft:crafting_shaped | mcwwindows:acacia_window2 mcwwindows:window_half_bar_base minecraft:acacia_log minecraft:crafting_shaped
