mcwroofs:acacia_attic_roof | minecraft:crafting_shaped | mcwroofs:acacia_attic_roof minecraft:acacia_log minecraft:crafting_shaped minecraft:glass
mcwroofs:acacia_lower_roof | minecraft:crafting_shaped | mcwroofs:acacia_lower_roof minecraft:acacia_log minecraft:crafting_shaped minecraft:stick
mcwroofs:acacia_planks_attic_roof | minecraft:crafting_shaped | mcwroofs:acacia_planks_attic_roof minecraft:acacia_planks minecraft:crafting_shaped minecraft:glass
mcwroofs:acacia_planks_lower_roof | minecraft:crafting_shaped | mcwroofs:acacia_planks_lower_roof minecraft:acacia_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:acacia_planks_roof | minecraft:crafting_shaped | mcwroofs:acacia_planks_roof minecraft:acacia_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:acacia_planks_steep_roof | minecraft:crafting_shaped | mcwroofs:acacia_planks_steep_roof minecraft:acacia_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:acacia_planks_top_roof | minecraft:crafting_shaped | mcwroofs:acacia_planks_top_roof minecraft:acacia_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:acacia_planks_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:acacia_planks_upper_lower_roof minecraft:acacia_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:acacia_planks_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:acacia_planks_upper_steep_roof minecraft:acacia_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:acacia_roof | minecraft:crafting_shaped | mcwroofs:acacia_roof minecraft:acacia_log minecraft:crafting_shaped minecraft:stick
mcwroofs:acacia_steep_roof | minecraft:crafting_shaped | mcwroofs:acacia_steep_roof minecraft:acacia_log minecraft:crafting_shaped minecraft:stick
mcwroofs:acacia_top_roof | minecraft:crafting_shaped | mcwroofs:acacia_top_roof minecraft:acacia_log minecraft:crafting_shaped minecraft:stick
mcwroofs:acacia_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:acacia_upper_lower_roof minecraft:acacia_log minecraft:crafting_shaped minecraft:stick
mcwroofs:acacia_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:acacia_upper_steep_roof minecraft:acacia_log minecraft:crafting_shaped minecraft:stick
mcwroofs:andesite_attic_roof | minecraft:stonecutting | mcwroofs:andesite_attic_roof minecraft:andesite minecraft:stonecutting
mcwroofs:andesite_lower_roof | minecraft:stonecutting | mcwroofs:andesite_lower_roof minecraft:andesite minecraft:stonecutting
mcwroofs:andesite_roof | minecraft:stonecutting | mcwroofs:andesite_roof minecraft:andesite minecraft:stonecutting
mcwroofs:andesite_steep_roof | minecraft:stonecutting | mcwroofs:andesite_steep_roof minecraft:andesite minecraft:stonecutting
mcwroofs:andesite_top_roof | minecraft:stonecutting | mcwroofs:andesite_top_roof minecraft:andesite minecraft:stonecutting
mcwroofs:andesite_upper_lower_roof | minecraft:stonecutting | mcwroofs:andesite_upper_lower_roof minecraft:andesite minecraft:stonecutting
mcwroofs:andesite_upper_steep_roof | minecraft:stonecutting | mcwroofs:andesite_upper_steep_roof minecraft:andesite minecraft:stonecutting
mcwroofs:bamboo_attic_roof | minecraft:crafting_shaped | mcwroofs:bamboo_attic_roof minecraft:bamboo_block minecraft:crafting_shaped minecraft:glass
mcwroofs:bamboo_lower_roof | minecraft:crafting_shaped | mcwroofs:bamboo_lower_roof minecraft:bamboo_block minecraft:crafting_shaped minecraft:stick
mcwroofs:bamboo_mosaic_attic_roof | minecraft:crafting_shaped | mcwroofs:bamboo_mosaic_attic_roof minecraft:bamboo_mosaic minecraft:crafting_shaped minecraft:glass
mcwroofs:bamboo_mosaic_lower_roof | minecraft:crafting_shaped | mcwroofs:bamboo_mosaic_lower_roof minecraft:bamboo_mosaic minecraft:crafting_shaped minecraft:stick
mcwroofs:bamboo_mosaic_roof | minecraft:crafting_shaped | mcwroofs:bamboo_mosaic_roof minecraft:bamboo_mosaic minecraft:crafting_shaped minecraft:stick
mcwroofs:bamboo_mosaic_steep_roof | minecraft:crafting_shaped | mcwroofs:bamboo_mosaic_steep_roof minecraft:bamboo_mosaic minecraft:crafting_shaped minecraft:stick
mcwroofs:bamboo_mosaic_top_roof | minecraft:crafting_shaped | mcwroofs:bamboo_mosaic_top_roof minecraft:bamboo_mosaic minecraft:crafting_shaped minecraft:stick
mcwroofs:bamboo_mosaic_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:bamboo_mosaic_upper_lower_roof minecraft:bamboo_mosaic minecraft:crafting_shaped minecraft:stick
mcwroofs:bamboo_mosaic_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:bamboo_mosaic_upper_steep_roof minecraft:bamboo_mosaic minecraft:crafting_shaped minecraft:stick
mcwroofs:bamboo_planks_attic_roof | minecraft:crafting_shaped | mcwroofs:bamboo_planks_attic_roof minecraft:bamboo_planks minecraft:crafting_shaped minecraft:glass
mcwroofs:bamboo_planks_lower_roof | minecraft:crafting_shaped | mcwroofs:bamboo_planks_lower_roof minecraft:bamboo_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:bamboo_planks_roof | minecraft:crafting_shaped | mcwroofs:bamboo_planks_roof minecraft:bamboo_planks minecraft:crafting_shaped minecraft:stick
