minecolonies:apple_pie | minecraft:crafting_shapeless | minecolonies:apple_pie minecolonies:durum minecraft:apple minecraft:crafting_shapeless minecraft:sugar
minecolonies:assistanthammer_gold | minecraft:crafting_shaped | c:ingots/gold minecolonies:assistanthammer_gold minecraft:crafting_shaped minecraft:stick structurize:sceptergold
minecolonies:baked_bread | minecraft:smelting | minecolonies:bread_dough minecraft:bread minecraft:smelting
minecolonies:baked_bread_campfire_cooking | minecraft:campfire_cooking | minecolonies:bread_dough minecraft:bread minecraft:campfire_cooking
minecolonies:baked_bread_smoking | minecraft:smoking | minecolonies:bread_dough minecraft:bread minecraft:smoking
minecolonies:baked_cake | minecraft:smelting | minecolonies:cake_batter minecraft:cake minecraft:smelting
minecolonies:baked_cake_campfire_cooking | minecraft:campfire_cooking | minecolonies:cake_batter minecraft:cake minecraft:campfire_cooking
minecolonies:baked_cake_smoking | minecraft:smoking | minecolonies:cake_batter minecraft:cake minecraft:smoking
minecolonies:baked_cookies | minecraft:smelting | minecolonies:cookie_dough minecraft:cookie minecraft:smelting
minecolonies:baked_cookies_campfire_cooking | minecraft:campfire_cooking | minecolonies:cookie_dough minecraft:campfire_cooking minecraft:cookie
minecolonies:baked_cookies_smoking | minecraft:smoking | minecolonies:cookie_dough minecraft:cookie minecraft:smoking
minecolonies:baked_manchet_bread | minecraft:smelting | minecolonies:manchet_bread minecolonies:manchet_dough minecraft:smelting
minecolonies:baked_manchet_bread_campfire_cooking | minecraft:campfire_cooking | minecolonies:manchet_bread minecolonies:manchet_dough minecraft:campfire_cooking
minecolonies:baked_manchet_bread_smoking | minecraft:smoking | minecolonies:manchet_bread minecolonies:manchet_dough minecraft:smoking
minecolonies:baked_muffin | minecraft:smelting | minecolonies:muffin minecolonies:muffin_dough minecraft:smelting
minecolonies:baked_muffin_campfire_cooking | minecraft:campfire_cooking | minecolonies:muffin minecolonies:muffin_dough minecraft:campfire_cooking
minecolonies:baked_muffin_smoking | minecraft:smoking | minecolonies:muffin minecolonies:muffin_dough minecraft:smoking
minecolonies:baked_pumpkin_pie | minecraft:smelting | minecolonies:raw_pumpkin_pie minecraft:pumpkin_pie minecraft:smelting
minecolonies:baked_pumpkin_pie_campfire_cooking | minecraft:campfire_cooking | minecolonies:raw_pumpkin_pie minecraft:campfire_cooking minecraft:pumpkin_pie
minecolonies:baked_pumpkin_pie_smoking | minecraft:smoking | minecolonies:raw_pumpkin_pie minecraft:pumpkin_pie minecraft:smoking
minecolonies:baked_salmon | minecraft:crafting_shapeless | minecolonies:baked_salmon minecolonies:garlic minecraft:crafting_shapeless minecraft:salmon
minecolonies:banner_rally_guards | minecraft:crafting_shaped | minecolonies:banner_rally_guards minecolonies:blockhutguardtower minecraft:bow minecraft:crafting_shaped minecraft:iron_sword minecraft:yellow_banner
minecolonies:barrel_block | minecraft:crafting_shaped | minecolonies:barrel_block minecraft:crafting_shaped minecraft:dirt minecraft:iron_ingot minecraft:planks structurize:sceptergold
minecolonies:blockconstructiontape | minecraft:crafting_shaped | minecolonies:blockconstructiontape minecraft:crafting_shaped minecraft:stick minecraft:wool
minecolonies:blockhutalchemist | minecraft:crafting_shaped | minecolonies:blockhutalchemist minecraft:brewing_stand minecraft:crafting_shaped minecraft:planks structurize:sceptergold
minecolonies:blockhutarchery | minecraft:crafting_shaped | minecolonies:blockhutarchery minecraft:bow minecraft:crafting_shaped minecraft:planks structurize:sceptergold
minecolonies:blockhutbaker | minecraft:crafting_shaped | minecolonies:blockhutbaker minecraft:crafting_shaped minecraft:planks minecraft:wheat structurize:sceptergold
minecolonies:blockhutbarracks | minecraft:crafting_shaped | minecolonies:blockhutbarracks minecraft:crafting_shaped minecraft:iron_block minecraft:planks structurize:sceptergold
minecolonies:blockhutbeekeeper | minecraft:crafting_shaped | minecolonies:blockhutbeekeeper minecraft:beehive minecraft:crafting_shaped minecraft:planks structurize:sceptergold
minecolonies:blockhutblacksmith | minecraft:crafting_shaped | minecolonies:blockhutblacksmith minecraft:crafting_shaped minecraft:iron_ingot minecraft:planks structurize:sceptergold
minecolonies:blockhutbuilder | minecraft:crafting_shaped | minecolonies:blockhutbuilder minecraft:crafting_shaped minecraft:planks minecraft:wooden_doors structurize:sceptergold
minecolonies:blockhutchickenherder | minecraft:crafting_shaped | minecolonies:blockhutchickenherder minecraft:crafting_shaped minecraft:egg minecraft:planks structurize:sceptergold
minecolonies:blockhutcitizen | minecraft:crafting_shaped | minecolonies:blockhutcitizen minecraft:crafting_shaped minecraft:planks minecraft:torch structurize:sceptergold
minecolonies:blockhutcombatacademy | minecraft:crafting_shaped | minecolonies:blockhutcombatacademy minecraft:crafting_shaped minecraft:iron_sword minecraft:planks structurize:sceptergold
minecolonies:blockhutcomposter | minecraft:crafting_shaped | minecolonies:barrel_block minecolonies:blockhutcomposter minecraft:crafting_shaped minecraft:planks structurize:sceptergold
minecolonies:blockhutconcretemixer | minecraft:crafting_shaped | minecolonies:blockhutconcretemixer minecraft:crafting_shaped minecraft:planks minecraft:white_concrete_powder structurize:sceptergold
minecolonies:blockhutcook | minecraft:crafting_shaped | minecolonies:blockhutcook minecraft:apple minecraft:crafting_shaped minecraft:planks structurize:sceptergold
minecolonies:blockhutcowboy | minecraft:crafting_shaped | minecolonies:blockhutcowboy minecraft:beef minecraft:crafting_shaped minecraft:planks structurize:sceptergold
minecolonies:blockhutcrusher | minecraft:crafting_shaped | minecolonies:blockhutcrusher minecraft:cobblestone minecraft:crafting_shaped minecraft:iron_ingot minecraft:planks structurize:sceptergold
minecolonies:blockhutdeliveryman | minecraft:crafting_shaped | minecolonies:blockhutdeliveryman minecraft:crafting_shaped minecraft:leather_boots minecraft:planks structurize:sceptergold
minecolonies:blockhutdeliverymaniron | minecraft:crafting_shaped | minecolonies:blockhutdeliveryman minecraft:crafting_shaped minecraft:iron_boots minecraft:planks structurize:sceptergold
minecolonies:blockhutdyer | minecraft:crafting_shaped | minecolonies:blockhutdyer minecraft:crafting_shaped minecraft:planks minecraft:red_dye structurize:sceptergold
minecolonies:blockhutenchanter | minecraft:crafting_shaped | minecolonies:blockhutenchanter minecraft:crafting_shaped minecraft:enchanting_table minecraft:planks structurize:sceptergold
minecolonies:blockhutfarmer | minecraft:crafting_shaped | minecolonies:blockhutfarmer minecraft:crafting_shaped minecraft:planks minecraft:wooden_hoe structurize:sceptergold
minecolonies:blockhutfarmerstone | minecraft:crafting_shaped | minecolonies:blockhutfarmer minecraft:crafting_shaped minecraft:planks minecraft:stone_hoe structurize:sceptergold
minecolonies:blockhutfield | minecraft:crafting_shaped | minecolonies:blockhutfield minecraft:crafting_shaped minecraft:hay_block minecraft:leather minecraft:pumpkin minecraft:stick
minecolonies:blockhutfisherman | minecraft:crafting_shaped | minecolonies:blockhutfisherman minecraft:crafting_shaped minecraft:fishing_rod minecraft:planks structurize:sceptergold
minecolonies:blockhutfletcher | minecraft:crafting_shaped | minecolonies:blockhutfletcher minecraft:crafting_shaped minecraft:planks minecraft:string structurize:sceptergold
minecolonies:blockhutflorist | minecraft:crafting_shaped | minecolonies:blockhutflorist minecraft:crafting_shaped minecraft:planks minecraft:poppy structurize:sceptergold
minecolonies:blockhutgatehouse | minecraft:crafting_shaped | minecolonies:blockhutgatehouse minecraft:bow minecraft:crafting_shaped minecraft:iron_sword minecraft:planks structurize:sceptergold
minecolonies:blockhutglassblower | minecraft:crafting_shaped | minecolonies:blockhutglassblower minecraft:crafting_shaped minecraft:glass minecraft:planks structurize:sceptergold
minecolonies:blockhutgraveyard | minecraft:crafting_shaped | minecolonies:blockhutgraveyard minecraft:bone minecraft:crafting_shaped minecraft:stone structurize:sceptergold
minecolonies:blockhutguardtower | minecraft:crafting_shaped | minecolonies:blockhutguardtower minecraft:bow minecraft:crafting_shaped minecraft:planks structurize:sceptergold
minecolonies:blockhuthospital | minecraft:crafting_shaped | minecolonies:blockhuthospital minecraft:carrot minecraft:crafting_shaped minecraft:planks structurize:sceptergold
minecolonies:blockhutkitchen | minecraft:crafting_shaped | minecolonies:blockhutkitchen minecraft:crafting_shaped minecraft:planks minecraft:smoker structurize:sceptergold
minecolonies:blockhutlibrary | minecraft:crafting_shaped | minecolonies:blockhutlibrary minecraft:book minecraft:crafting_shaped minecraft:planks structurize:sceptergold
minecolonies:blockhutlumberjack | minecraft:crafting_shaped | minecolonies:blockhutlumberjack minecraft:crafting_shaped minecraft:planks minecraft:wooden_axe structurize:sceptergold
minecolonies:blockhutlumberjackstone | minecraft:crafting_shaped | minecolonies:blockhutlumberjack minecraft:crafting_shaped minecraft:planks minecraft:stone_axe structurize:sceptergold
minecolonies:blockhutmechanic | minecraft:crafting_shaped | minecolonies:blockhutmechanic minecraft:crafting_shaped minecraft:planks minecraft:redstone_block structurize:sceptergold
minecolonies:blockhutminer | minecraft:crafting_shaped | minecolonies:blockhutminer minecraft:crafting_shaped minecraft:planks minecraft:wooden_pickaxe structurize:sceptergold
minecolonies:blockhutminerstone | minecraft:crafting_shaped | minecolonies:blockhutminer minecraft:crafting_shaped minecraft:planks minecraft:stone_pickaxe structurize:sceptergold
minecolonies:blockhutmysticalsite | minecraft:crafting_shaped | minecolonies:blockhutmysticalsite minecraft:crafting_shaped minecraft:diamond minecraft:planks structurize:sceptergold
minecolonies:blockhutnetherworker | minecraft:crafting_shaped | minecolonies:blockhutnetherworker minecraft:crafting_shaped minecraft:obsidian minecraft:planks structurize:sceptergold
minecolonies:blockhutplantation | minecraft:crafting_shaped | minecolonies:blockhutplantation minecraft:cactus minecraft:crafting_shaped minecraft:planks structurize:sceptergold
