minecraft:golem_slicing_axe | minecraft:smithing_transform | minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform minecraft:stonecutter modulargolems:diamond_golem_axe modulargolems:golem_slicing_axe
minecraft:sonic_cannon_complements | minecraft:crafting_shaped | l2complements:resonant_feather l2complements:sonic_shooter l2complements:warden_bone_shard minecraft:crafting_shaped modulargolems:metal_golem_template modulargolems:sonic_cannon neoforge:mod_loaded
minecraft:sonic_cannon_dungeon | minecraft:crafting_shaped | golemdungeons:sculk_golem_scythe minecraft:crafting_shaped minecraft:sculk_catalyst minecraft:sculk_shrieker modulargolems:metal_golem_template modulargolems:sonic_cannon neoforge:mod_loaded
modulargolems:allthemodium_expansion_template | minecraft:crafting_shaped | allthemodium:allthemodium_ingot allthemodium:allthemodium_upgrade_smithing_template minecraft:crafting_shaped modulargolems:allthemodium_expansion_template modulargolems:empty_upgrade modulargolems:netherite_expansion_template neoforge:mod_loaded
modulargolems:ancient_remnant_sandstorm | minecraft:crafting_shapeless | cataclysm:sandstorm_in_a_bottle minecraft:crafting_shapeless modulargolems:ancient_remnant_sandstorm modulargolems:empty_upgrade neoforge:mod_loaded
modulargolems:attack_high | minecraft:crafting_shapeless | l2complements:explosion_shard minecraft:crafting_shapeless modulargolems:attack_high modulargolems:quartz neoforge:mod_loaded
modulargolems:azure_cube | minecraft:crafting_shaped | cataclysm:azure_seastone cataclysm:lacrima minecraft:crafting_shaped minecraft:sea_lantern modulargolems:azure_cube neoforge:mod_loaded
modulargolems:barbaric_vanguard_boots | minecraft:crafting_shaped | minecraft:anvil minecraft:crafting_shaped minecraft:netherite_boots modulargolems:barbaric_vanguard_boots modulargolems:metal_golem_template
modulargolems:barbaric_vanguard_chestplate | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:netherite_chestplate minecraft:quartz modulargolems:barbaric_vanguard_chestplate modulargolems:metal_golem_template
modulargolems:barbaric_vanguard_helmet | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:netherite_helmet minecraft:quartz modulargolems:barbaric_vanguard_helmet modulargolems:metal_golem_template
modulargolems:barbaric_vanguard_shinguard | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:netherite_leggings minecraft:quartz modulargolems:barbaric_vanguard_shinguard modulargolems:metal_golem_template
modulargolems:beacon_boots | minecraft:crafting_shaped | minecraft:anvil minecraft:beacon minecraft:crafting_shaped minecraft:nether_star modulargolems:beacon_boots modulargolems:wind_spirit_boots
modulargolems:beacon_cannon | minecraft:crafting_shaped | minecraft:beacon minecraft:crafting_shaped minecraft:diamond minecraft:iron_ingot modulargolems:beacon_cannon modulargolems:metal_golem_template
modulargolems:bell | minecraft:crafting_shapeless | minecraft:bell minecraft:crafting_shapeless modulargolems:bell modulargolems:empty_upgrade
modulargolems:black_config_card | minecraft:crafting_shapeless | minecraft:black_dye minecraft:crafting_shapeless modulargolems:black_config_card modulargolems:config_card
modulargolems:blue_config_card | minecraft:crafting_shapeless | minecraft:blue_dye minecraft:crafting_shapeless modulargolems:blue_config_card modulargolems:config_card
modulargolems:book | minecraft:crafting_shapeless | minecraft:book minecraft:crafting_shapeless modulargolems:golem_guide modulargolems:metal_golem_template neoforge:mod_loaded patchouli:guide_book
modulargolems:brown_config_card | minecraft:crafting_shapeless | minecraft:brown_dye minecraft:crafting_shapeless modulargolems:brown_config_card modulargolems:config_card
modulargolems:carminite | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:carminite modulargolems:empty_upgrade neoforge:mod_loaded twilightforest:carminite twilightforest:encased_towerwood
modulargolems:cauldron | minecraft:crafting_shaped | minecraft:blaze_powder minecraft:cauldron minecraft:crafting_shaped minecraft:dragon_breath minecraft:nether_star modulargolems:cauldron modulargolems:empty_upgrade
modulargolems:cleanse | minecraft:crafting_shaped | l2complements:cursed_blade l2complements:life_essence l2core:enchantment minecraft:crafting_shaped minecraft:dragon_breath minecraft:heart_of_the_sea modulargolems:cleanse modulargolems:empty_upgrade neoforge:mod_loaded
modulargolems:coating | minecraft:crafting_shaped | c:ingots/zinc minecraft:crafting_shaped modulargolems:coating modulargolems:empty_upgrade neoforge:mod_loaded
modulargolems:command_wand | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:gold_ingot minecraft:stick modulargolems:command_wand modulargolems:metal_golem_template
modulargolems:craft_config_card | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:paper modulargolems:metal_golem_template modulargolems:white_config_card
modulargolems:crushing/barbaric_vanguard_chestplate | create:crushing | create:crushing minecraft:diamond minecraft:netherite_ingot modulargolems:barbaric_vanguard_chestplate neoforge:mod_loaded
modulargolems:crushing/barbaric_vanguard_helmet | create:crushing | create:crushing minecraft:diamond minecraft:netherite_ingot modulargolems:barbaric_vanguard_helmet neoforge:mod_loaded
modulargolems:crushing/barbaric_vanguard_shinguard | create:crushing | create:crushing minecraft:diamond minecraft:netherite_ingot modulargolems:barbaric_vanguard_shinguard neoforge:mod_loaded
modulargolems:crushing/diamond_golem_axe | create:crushing | create:crushing minecraft:diamond modulargolems:diamond_golem_axe neoforge:mod_loaded
modulargolems:crushing/diamond_golem_spear | create:crushing | create:crushing minecraft:diamond modulargolems:diamond_golem_spear neoforge:mod_loaded
modulargolems:crushing/diamond_golem_sword | create:crushing | create:crushing minecraft:diamond modulargolems:diamond_golem_sword neoforge:mod_loaded
modulargolems:crushing/fiery_boots | create:crushing | create:crushing modulargolems:fiery_boots neoforge:mod_loaded twilightforest:fiery_ingot
modulargolems:crushing/fiery_chestplate | create:crushing | create:crushing modulargolems:fiery_chestplate neoforge:mod_loaded twilightforest:fiery_ingot
modulargolems:crushing/fiery_golem_axe | create:crushing | create:crushing modulargolems:fiery_golem_axe neoforge:mod_loaded twilightforest:fiery_ingot
modulargolems:crushing/fiery_golem_spear | create:crushing | create:crushing modulargolems:fiery_golem_spear neoforge:mod_loaded twilightforest:fiery_ingot
modulargolems:crushing/fiery_golem_sword | create:crushing | create:crushing modulargolems:fiery_golem_sword neoforge:mod_loaded twilightforest:fiery_ingot
modulargolems:crushing/fiery_helmet | create:crushing | create:crushing modulargolems:fiery_helmet neoforge:mod_loaded twilightforest:fiery_ingot
modulargolems:crushing/fiery_shinguard | create:crushing | create:crushing modulargolems:fiery_shinguard neoforge:mod_loaded twilightforest:fiery_ingot
modulargolems:crushing/iron_golem_axe | create:crushing | create:crushing minecraft:iron_ingot modulargolems:iron_golem_axe neoforge:mod_loaded
modulargolems:crushing/iron_golem_spear | create:crushing | create:crushing minecraft:iron_ingot modulargolems:iron_golem_spear neoforge:mod_loaded
modulargolems:crushing/iron_golem_sword | create:crushing | create:crushing minecraft:iron_ingot modulargolems:iron_golem_sword neoforge:mod_loaded
modulargolems:crushing/ironwood_boots | create:crushing | create:crushing modulargolems:ironwood_boots neoforge:mod_loaded twilightforest:ironwood_ingot
modulargolems:crushing/ironwood_chestplate | create:crushing | create:crushing modulargolems:ironwood_chestplate neoforge:mod_loaded twilightforest:ironwood_ingot
modulargolems:crushing/ironwood_golem_axe | create:crushing | create:crushing modulargolems:ironwood_golem_axe neoforge:mod_loaded twilightforest:ironwood_ingot
modulargolems:crushing/ironwood_golem_spear | create:crushing | create:crushing modulargolems:ironwood_golem_spear neoforge:mod_loaded twilightforest:ironwood_ingot
modulargolems:crushing/ironwood_golem_sword | create:crushing | create:crushing modulargolems:ironwood_golem_sword neoforge:mod_loaded twilightforest:ironwood_ingot
modulargolems:crushing/ironwood_helmet | create:crushing | create:crushing modulargolems:ironwood_helmet neoforge:mod_loaded twilightforest:ironwood_ingot
modulargolems:crushing/ironwood_shinguard | create:crushing | create:crushing modulargolems:ironwood_shinguard neoforge:mod_loaded twilightforest:ironwood_ingot
