more_slabs_stairs_and_walls:acacia_leaves_slab_from_acacia_leaves_stonecutting | minecraft:stonecutting | minecraft:acacia_leaves minecraft:stonecutting more_slabs_stairs_and_walls:acacia_leaves_slab
more_slabs_stairs_and_walls:acacia_leaves_slab_shaped | minecraft:crafting_shaped | minecraft:acacia_leaves minecraft:crafting_shaped more_slabs_stairs_and_walls:acacia_leaves_slab
more_slabs_stairs_and_walls:acacia_leaves_stairs_from_acacia_leaves_stonecutting | minecraft:stonecutting | minecraft:acacia_leaves minecraft:stonecutting more_slabs_stairs_and_walls:acacia_leaves_stairs
more_slabs_stairs_and_walls:acacia_leaves_stairs_shaped | minecraft:crafting_shaped | minecraft:acacia_leaves minecraft:crafting_shaped more_slabs_stairs_and_walls:acacia_leaves_stairs
more_slabs_stairs_and_walls:acacia_leaves_wall_from_acacia_leaves_stonecutting | minecraft:stonecutting | minecraft:acacia_leaves minecraft:stonecutting more_slabs_stairs_and_walls:acacia_leaves_wall
more_slabs_stairs_and_walls:acacia_leaves_wall_shaped | minecraft:crafting_shaped | minecraft:acacia_leaves minecraft:crafting_shaped more_slabs_stairs_and_walls:acacia_leaves_wall
more_slabs_stairs_and_walls:acacia_log_slab_from_acacia_log_stonecutting | minecraft:stonecutting | minecraft:acacia_log minecraft:stonecutting more_slabs_stairs_and_walls:acacia_log_slab
more_slabs_stairs_and_walls:acacia_log_slab_shaped | minecraft:crafting_shaped | minecraft:acacia_log minecraft:crafting_shaped more_slabs_stairs_and_walls:acacia_log_slab
more_slabs_stairs_and_walls:acacia_log_slab_to_planks | minecraft:crafting_shapeless | minecraft:acacia_planks minecraft:crafting_shapeless more_slabs_stairs_and_walls:acacia_log_slab
more_slabs_stairs_and_walls:acacia_log_stairs_from_acacia_log_stonecutting | minecraft:stonecutting | minecraft:acacia_log minecraft:stonecutting more_slabs_stairs_and_walls:acacia_log_stairs
more_slabs_stairs_and_walls:acacia_log_stairs_shaped | minecraft:crafting_shaped | minecraft:acacia_log minecraft:crafting_shaped more_slabs_stairs_and_walls:acacia_log_stairs
more_slabs_stairs_and_walls:acacia_log_stairs_to_planks | minecraft:crafting_shapeless | minecraft:acacia_planks minecraft:crafting_shapeless more_slabs_stairs_and_walls:acacia_log_stairs
more_slabs_stairs_and_walls:acacia_log_wall_from_acacia_log_stonecutting | minecraft:stonecutting | minecraft:acacia_log minecraft:stonecutting more_slabs_stairs_and_walls:acacia_log_wall
more_slabs_stairs_and_walls:acacia_log_wall_shaped | minecraft:crafting_shaped | minecraft:acacia_log minecraft:crafting_shaped more_slabs_stairs_and_walls:acacia_log_wall
more_slabs_stairs_and_walls:acacia_log_wall_to_planks | minecraft:crafting_shapeless | minecraft:acacia_planks minecraft:crafting_shapeless more_slabs_stairs_and_walls:acacia_log_wall
more_slabs_stairs_and_walls:acacia_planks_wall_from_acacia_planks_stonecutting | minecraft:stonecutting | minecraft:acacia_planks minecraft:stonecutting more_slabs_stairs_and_walls:acacia_planks_wall
more_slabs_stairs_and_walls:acacia_planks_wall_shaped | minecraft:crafting_shaped | minecraft:acacia_planks minecraft:crafting_shaped more_slabs_stairs_and_walls:acacia_planks_wall
more_slabs_stairs_and_walls:acacia_wood_slab_from_acacia_wood_stonecutting | minecraft:stonecutting | minecraft:acacia_wood minecraft:stonecutting more_slabs_stairs_and_walls:acacia_wood_slab
more_slabs_stairs_and_walls:acacia_wood_slab_shaped | minecraft:crafting_shaped | minecraft:acacia_wood minecraft:crafting_shaped more_slabs_stairs_and_walls:acacia_wood_slab
more_slabs_stairs_and_walls:acacia_wood_slab_to_planks | minecraft:crafting_shapeless | minecraft:acacia_planks minecraft:crafting_shapeless more_slabs_stairs_and_walls:acacia_wood_slab
