occultengineering:blasting/brass_ingot_from_crushed | minecraft:blasting | create:brass_ingot minecraft:blasting occultengineering:brass_dust
occultengineering:blasting/zinc_ingot_from_crushed | minecraft:blasting | create:zinc_ingot minecraft:blasting occultengineering:zinc_dust
occultengineering:compacting/chalk_brass_impure | create:compacting | c:dusts/brass create:compacting neoforge:single occultengineering:chalk_brass_impure occultengineering:spirit_solution occultism:chalk_white_impure
occultengineering:compacting/chalk_copper_impure | create:compacting | c:dusts/copper create:compacting neoforge:single occultengineering:chalk_copper_impure occultengineering:spirit_solution occultism:chalk_white_impure
occultengineering:compacting/chalk_white_impure | create:compacting | create:compacting occultism:burnt_otherstone occultism:chalk_white_impure occultism:otherworld_ashes
occultengineering:compacting/chalk_zinc_impure | create:compacting | c:dusts/zinc create:compacting neoforge:single occultengineering:chalk_zinc_impure occultengineering:spirit_solution occultism:chalk_white_impure
occultengineering:compacting/phlogiston | create:compacting | create:compacting minecraft:blaze_powder minecraft:lava neoforge:single occultengineering:phlogiston
occultengineering:compacting/spirit_solution_from_seeds | create:compacting | create:compacting occultengineering:spirit_solution occultism:datura_seeds
occultengineering:crafting/empty_fan_catalyst | minecraft:crafting_shapeless | create_connected:empty_fan_catalyst forge:mod_loaded minecraft:crafting_shapeless occultengineering:fan_enspirit_catalyst
occultengineering:crafting/items/combined_goggles | minecraft:crafting_shapeless | create:goggles minecraft:crafting_shapeless occultengineering:combined_goggles occultism:otherworld_goggles
occultengineering:crafting/items/encyclopedia_of_souls | minecraft:crafting_shapeless | create:cogwheel minecraft:crafting_shapeless occultengineering:encyclopedia_of_souls occultism:dictionary_of_spirits
occultengineering:crafting/items/sterling_silver_block_from_compacting | minecraft:crafting_shaped | c:ingots/sterling_silver minecraft:crafting_shaped occultengineering:sterling_silver_block
occultengineering:crafting/items/sterling_silver_ingot_from_compacting | minecraft:crafting_shaped | c:nuggets/sterling_silver minecraft:crafting_shaped occultengineering:sterling_silver_ingot
occultengineering:crafting/items/sterling_silver_ingot_from_decompacting | minecraft:crafting_shapeless | c:storage_blocks/sterling_silver minecraft:crafting_shapeless occultengineering:sterling_silver_ingot
occultengineering:crafting/items/sterling_silver_nugget_from_decompacting | minecraft:crafting_shapeless | c:ingots/sterling_silver minecraft:crafting_shapeless occultengineering:sterling_silver_nugget
occultengineering:crafting/mechanical_pulverizer | minecraft:crafting_shaped | create:iron_sheet create:shaft minecraft:crafting_shaped occultengineering:mechanical_pulverizer occultengineering:sterling_silver_block occultism:otherstone_slab
occultengineering:crafting/upgrade_tier | occultengineering:upgrade_tier | occultengineering:upgrade_tier
occultengineering:filling/bind_afrit_book | create:filling | create:filling neoforge:single occultengineering:spirit_solution occultism:book_of_binding_afrit occultism:book_of_binding_bound_afrit
occultengineering:filling/bind_djinni_book | create:filling | create:filling neoforge:single occultengineering:spirit_solution occultism:book_of_binding_bound_djinni occultism:book_of_binding_djinni
occultengineering:filling/bind_foliot_book | create:filling | create:filling neoforge:single occultengineering:spirit_solution occultism:book_of_binding_bound_foliot occultism:book_of_binding_foliot
occultengineering:filling/bind_marid_book | create:filling | create:filling neoforge:single occultengineering:spirit_solution occultism:book_of_binding_bound_marid occultism:book_of_binding_marid
occultengineering:filling/bind_puca_book | create:filling | create:filling neoforge:single occultengineering:book_of_binding_bound_puca occultengineering:book_of_binding_puca occultengineering:spirit_solution
occultengineering:haunting/raw_silver | create:haunting | create:haunting minecraft:raw_gold occultism:raw_silver
occultengineering:item_application/enspirit_catalyst_from_empty | create:item_application | create:item_application create_connected:empty_fan_catalyst neoforge:compound neoforge:mod_loaded occultengineering:fan_enspirit_catalyst occultism:datura
occultengineering:mixing/book_of_binding_afrit | create:mixing | create:mixing minecraft:purple_dye occultism:awakened_feather occultism:book_of_binding_afrit occultism:purified_ink occultism:taboo_book
occultengineering:mixing/book_of_binding_afrit_from_empty | create:mixing | create:mixing minecraft:purple_dye occultism:book_of_binding_afrit occultism:book_of_binding_empty
occultengineering:mixing/book_of_binding_djinni | create:mixing | create:mixing minecraft:green_dye occultism:awakened_feather occultism:book_of_binding_djinni occultism:purified_ink occultism:taboo_book
occultengineering:mixing/book_of_binding_djinni_from_empty | create:mixing | create:mixing minecraft:green_dye occultism:book_of_binding_djinni occultism:book_of_binding_empty
occultengineering:mixing/book_of_binding_foliot | create:mixing | create:mixing minecraft:white_dye occultism:awakened_feather occultism:book_of_binding_foliot occultism:purified_ink occultism:taboo_book
occultengineering:mixing/book_of_binding_foliot_from_empty | create:mixing | create:mixing minecraft:white_dye occultism:book_of_binding_empty occultism:book_of_binding_foliot
occultengineering:mixing/book_of_binding_marid | create:mixing | create:mixing minecraft:orange_dye minecraft:purple_dye occultism:awakened_feather occultism:book_of_binding_marid occultism:purified_ink occultism:taboo_book
