minecraft:repair_item | occultism:crafting_special_repairitem | occultism:crafting_special_repairitem
occultism:blasting/copper_ingot_from_dust | minecraft:blasting | c:dusts/copper minecraft:blasting minecraft:copper_ingot
occultism:blasting/gold_ingot_from_dust | minecraft:blasting | c:dusts/gold minecraft:blasting minecraft:gold_ingot
occultism:blasting/iesnium_ingot_from_dust | minecraft:blasting | c:dusts/iesnium minecraft:blasting occultism:iesnium_ingot
occultism:blasting/iesnium_ingot_from_ore | minecraft:blasting | c:ores/iesnium minecraft:blasting occultism:iesnium_ingot
occultism:blasting/iesnium_ingot_from_raw | minecraft:blasting | c:raw_materials/iesnium minecraft:blasting occultism:iesnium_ingot
occultism:blasting/iron_ingot_from_dust | minecraft:blasting | c:dusts/iron minecraft:blasting minecraft:iron_ingot
occultism:blasting/netherite_ingot_from_dust | minecraft:blasting | c:dusts/netherite minecraft:blasting minecraft:netherite_ingot
occultism:blasting/netherite_scrap_from_dust | minecraft:blasting | c:dusts/netherite_scrap minecraft:blasting minecraft:netherite_scrap
occultism:blasting/silver_ingot_from_dust | minecraft:blasting | c:dusts/silver minecraft:blasting occultism:silver_ingot
occultism:blasting/silver_ingot_from_ore | minecraft:blasting | c:ores/silver minecraft:blasting occultism:silver_ingot
occultism:blasting/silver_ingot_from_raw | minecraft:blasting | c:raw_materials/silver minecraft:blasting occultism:silver_ingot
occultism:compat/immersiveengineering/otherworld_log | immersiveengineering:sawmill | c:dusts/wood immersiveengineering:sawmill neoforge:mod_loaded occultism:otherworld_log occultism:stripped_otherworld_log
occultism:compat/immersiveengineering/otherworld_wood | immersiveengineering:sawmill | c:dusts/wood immersiveengineering:sawmill neoforge:mod_loaded occultism:otherworld_wood occultism:stripped_otherworld_wood
occultism:crafting/book_of_binding_afrit | minecraft:crafting_shaped | c:dyes/yellow minecraft:crafting_shaped occultism:awakened_feather occultism:book_of_binding_afrit occultism:purified_ink occultism:taboo_book
occultism:crafting/book_of_binding_afrit_from_empty | minecraft:crafting_shaped | c:dyes/yellow minecraft:crafting_shaped occultism:book_of_binding_afrit occultism:book_of_binding_empty
occultism:crafting/book_of_binding_bound_djinni_from_calling | minecraft:crafting_shapeless | minecraft:crafting_shapeless occultism:book_of_binding_bound_djinni occultism:books/book_of_calling_djinni
occultism:crafting/book_of_binding_bound_foliot_from_calling | minecraft:crafting_shapeless | minecraft:crafting_shapeless occultism:book_of_binding_bound_foliot occultism:books/book_of_calling_foliot
occultism:crafting/book_of_binding_djinni | minecraft:crafting_shaped | c:dyes/purple minecraft:crafting_shaped occultism:awakened_feather occultism:book_of_binding_djinni occultism:purified_ink occultism:taboo_book
occultism:crafting/book_of_binding_djinni_from_empty | minecraft:crafting_shaped | c:dyes/purple minecraft:crafting_shaped occultism:book_of_binding_djinni occultism:book_of_binding_empty
