pantographsandwires:blasting/coal_coke | minecraft:blasting | minecraft:blasting minecraft:coals pantographsandwires:coal_coke
pantographsandwires:book_and_pencil | minecraft:crafting_shapeless | minecraft:book minecraft:crafting_shapeless minecraft:writable_book pantographsandwires:pencil
pantographsandwires:brown_insulator | minecraft:crafting_shaped | create:andesite_alloy minecraft:crafting_shaped minecraft:terracotta pantographsandwires:insulator_brown
pantographsandwires:builtin/combine_wires | pantographsandwires:combine_wire | pantographsandwires:combine_wire
pantographsandwires:coal_coke | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:coal_coke pantographsandwires:coal_coke_block
pantographsandwires:coal_coke_block | minecraft:crafting_shaped | c:coal_coke minecraft:crafting_shaped pantographsandwires:coal_coke_block
pantographsandwires:compacting/cantilever_bracket | create:compacting | c:ingots/iron create:compacting pantographsandwires:cantilever_bracket
pantographsandwires:compacting/graphite | create:compacting | c:dusts/coal_coke create:compacting pantographsandwires:graphite_ingot
pantographsandwires:compacting/h_beam_mast | create:compacting | c:ingots/iron create:compacting pantographsandwires:h_beam_mast pantographsandwires:iron_strip
pantographsandwires:cutting/concrete_post | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:concrete_pillar pantographsandwires:concrete_post
pantographsandwires:cutting/concrete_post_exposed | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:concrete_pillar_exposed pantographsandwires:concrete_post_exposed
pantographsandwires:cutting/concrete_post_oxidized | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:concrete_pillar_oxidized pantographsandwires:concrete_post_oxidized
pantographsandwires:cutting/concrete_post_weathered | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:concrete_pillar_weathered pantographsandwires:concrete_post_weathered
pantographsandwires:cutting/iron_rod | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:iron_rod pantographsandwires:iron_strip
pantographsandwires:cutting/iron_strip | minecraft:stonecutting | c:plates/iron minecraft:stonecutting pantographsandwires:iron_strip
pantographsandwires:cutting/power_line_bracket | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:h_beam_mast pantographsandwires:power_line_bracket
pantographsandwires:cutting/power_line_bracket_exposed | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:h_beam_mast_exposed pantographsandwires:power_line_bracket_exposed
pantographsandwires:cutting/power_line_bracket_galvanized | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:h_beam_mast_galvanized pantographsandwires:power_line_bracket_galvanized
