railways:benchcart | minecraft:crafting_shapeless | c:workbench minecraft:crafting_shapeless minecraft:minecart railways:benchcart
railways:conductor_vent_from_industrial_iron_block_stonecutting | minecraft:stonecutting | create:industrial_iron_block minecraft:stonecutting railways:conductor_vent
railways:crafting/big_buffer | minecraft:crafting_shaped | c:plates/iron create:industrial_iron_block minecraft:crafting_shaped railways:big_buffer railways:small_buffer
railways:crafting/buffer | minecraft:crafting_shaped | create:industrial_iron_block create:metal_girder minecraft:crafting_shaped railways:buffer railways:wooden_headstocks
railways:crafting/conductor_whistle | minecraft:crafting_shapeless | c:ingots/copper c:nuggets/brass minecraft:crafting_shapeless railways:conductor_whistle
railways:crafting/copycat_headstock_link_and_pin | minecraft:crafting_shaped | create:copycat_panel minecraft:crafting_shaped railways:copycat_headstock_link_and_pin railways:deco_couplers
railways:crafting/fuel_tank | minecraft:crafting_shaped | create:fluid_tank create:sturdy_sheet minecraft:crafting_shaped railways:fuel_tank
railways:crafting/handcar | minecraft:crafting_shaped | create:andesite_alloy create:andesite_casing create:cogwheel create:contraption_controls minecraft:crafting_shaped minecraft:stick minecraft:wooden_slabs railways:handcar
railways:crafting/link_and_pin | minecraft:crafting_shaped | c:nuggets/iron c:plates/iron create:industrial_iron_block create:shaft minecraft:crafting_shaped railways:link_and_pin
railways:crafting/palettes/dyeing_1x/black_brass_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless railways:black_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_1x/black_brass_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless railways:black_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_1x/black_copper_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless railways:black_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_1x/black_copper_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless railways:black_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_1x/black_flat_riveted_locometal | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless railways:black_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_1x/black_flat_slashed_locometal | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless railways:black_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_1x/black_iron_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless railways:black_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_1x/black_iron_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless railways:black_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_1x/black_locometal_boiler | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless railways:black_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_1x/black_locometal_pillar | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless railways:black_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_1x/black_locometal_smokebox | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless railways:black_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_1x/black_plated_locometal | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless railways:black_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_1x/black_riveted_locometal | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless railways:black_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_1x/black_slashed_locometal | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless railways:black_slashed_locometal railways:palettes/dye_groups/slashed
railways:crafting/palettes/dyeing_1x/blue_brass_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless railways:blue_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_1x/blue_brass_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless railways:blue_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_1x/blue_copper_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless railways:blue_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_1x/blue_copper_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless railways:blue_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_1x/blue_flat_riveted_locometal | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless railways:blue_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_1x/blue_flat_slashed_locometal | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless railways:blue_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_1x/blue_iron_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless railways:blue_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_1x/blue_iron_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless railways:blue_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_1x/blue_locometal_boiler | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless railways:blue_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_1x/blue_locometal_pillar | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless railways:blue_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_1x/blue_locometal_smokebox | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless railways:blue_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_1x/blue_plated_locometal | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless railways:blue_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_1x/blue_riveted_locometal | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless railways:blue_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_1x/blue_slashed_locometal | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless railways:blue_slashed_locometal railways:palettes/dye_groups/slashed
