recipe_integration:aether/freezing/biomeswevegone/packed_black_ice | aether:freezing | aether:freezing biomeswevegone:black_ice biomeswevegone:packed_black_ice neoforge:mod_loaded
recipe_integration:aether/freezing/biomeswevegone/packed_borealis_ice | aether:freezing | aether:freezing biomeswevegone:borealis_ice biomeswevegone:packed_borealis_ice neoforge:mod_loaded
recipe_integration:aether/placement_ban/actuallyadditions/tiny_torch_block | aether:block_placement_ban | actuallyadditions:tiny_torch aether:block_placement_ban neoforge:mod_loaded
recipe_integration:aether/placement_ban/actuallyadditions/tiny_torch_item | aether:item_placement_ban | actuallyadditions:tiny_torch aether:item_placement_ban neoforge:mod_loaded
recipe_integration:aether/placement_ban/evilcraft/gem_stone_torch_block | aether:block_placement_ban | aether:block_placement_ban evilcraft:gem_stone_torch neoforge:mod_loaded
recipe_integration:aether/placement_ban/evilcraft/gem_stone_torch_item | aether:item_placement_ban | aether:item_placement_ban evilcraft:gem_stone_torch neoforge:mod_loaded
recipe_integration:aether/skyroot_planks_crafting/chipped/carpenters_table | minecraft:crafting_shaped | aether:planks_crafting chipped:carpenters_table minecraft:crafting_shaped minecraft:crafting_table minecraft:iron_axe minecraft:iron_ingot neoforge:mod_loaded
recipe_integration:aether/skyroot_planks_crafting/eternal_starlight/piston_from_cinder_brick | minecraft:crafting_shaped | aether:planks_crafting eternal_starlight:cinder_brick minecraft:crafting_shaped minecraft:iron_ingot minecraft:piston minecraft:redstone neoforge:mod_loaded
recipe_integration:aether/skyroot_planks_crafting/farmersdelight/canvas_sign | minecraft:crafting_shaped | aether:planks_crafting farmersdelight:canvas farmersdelight:canvas_sign minecraft:crafting_shaped minecraft:stick neoforge:mod_loaded
recipe_integration:aether/skyroot_planks_crafting/farmersdelight/cutting_board | minecraft:crafting_shaped | aether:planks_crafting aether:skyroot_stick farmersdelight:cutting_board minecraft:crafting_shaped neoforge:mod_loaded
recipe_integration:aether/skyroot_planks_crafting/galosphere/combustion_table | minecraft:crafting_shaped | aether:planks_crafting c:silver_ingots galosphere:combustion_table minecraft:crafting_shaped neoforge:mod_loaded
recipe_integration:alloy_smelter/bigreactors/tier1/double_yellorium | alloy_smelter:smelting | alloy_smelter:smelting bigreactors:raw_yellorium bigreactors:yellorium_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/bigreactors/tier1/yellorium | alloy_smelter:smelting | alloy_smelter:smelting bigreactors:raw_yellorium bigreactors:yellorium_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/bigreactors/tier2/double_yellorium | alloy_smelter:smelting | alloy_smelter:smelting bigreactors:raw_yellorium bigreactors:yellorium_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/bigreactors/tier2/yellorium | alloy_smelter:smelting | alloy_smelter:smelting bigreactors:raw_yellorium bigreactors:yellorium_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/bigreactors/tier3/double_yellorium | alloy_smelter:smelting | alloy_smelter:smelting bigreactors:raw_yellorium bigreactors:yellorium_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/bigreactors/tier3/yellorium | alloy_smelter:smelting | alloy_smelter:smelting bigreactors:raw_yellorium bigreactors:yellorium_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier1/arlemite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:arlemite_ingot divinerpg:raw_arlemite neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier1/double_arlemite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:arlemite_ingot divinerpg:raw_arlemite neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier1/double_oxdrite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:oxdrite_ingot divinerpg:raw_oxdrite neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier1/double_realmite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_realmite divinerpg:realmite_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier1/double_rupee | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_rupee divinerpg:rupee_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier1/double_torridite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_torridite divinerpg:torridite_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier1/oxdrite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:oxdrite_ingot divinerpg:raw_oxdrite neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier1/realmite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_realmite divinerpg:realmite_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier1/rupee | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_rupee divinerpg:rupee_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier1/torridite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_torridite divinerpg:torridite_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier2/arlemite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:arlemite_ingot divinerpg:raw_arlemite neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier2/double_arlemite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:arlemite_ingot divinerpg:raw_arlemite neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier2/double_oxdrite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:oxdrite_ingot divinerpg:raw_oxdrite neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier2/double_realmite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_realmite divinerpg:realmite_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier2/double_rupee | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_rupee divinerpg:rupee_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier2/double_torridite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_torridite divinerpg:torridite_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier2/oxdrite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:oxdrite_ingot divinerpg:raw_oxdrite neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier2/realmite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_realmite divinerpg:realmite_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier2/rupee | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_rupee divinerpg:rupee_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier2/torridite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_torridite divinerpg:torridite_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier3/arlemite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:arlemite_ingot divinerpg:raw_arlemite neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier3/double_arlemite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:arlemite_ingot divinerpg:raw_arlemite neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier3/double_oxdrite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:oxdrite_ingot divinerpg:raw_oxdrite neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier3/double_realmite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_realmite divinerpg:realmite_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier3/double_rupee | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_rupee divinerpg:rupee_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier3/double_torridite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_torridite divinerpg:torridite_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier3/oxdrite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:oxdrite_ingot divinerpg:raw_oxdrite neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier3/realmite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_realmite divinerpg:realmite_ingot neoforge:mod_loaded
