s_a_b:badlandsbase | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_bush s_a_b:steelblockgrass s_a_b:steelblockgrassbadlands
s_a_b:badlandsdouble | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_bush s_a_b:doublesteelblockgrass s_a_b:doublesteelblockgrassbadlands
s_a_b:badlandshard | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_bush s_a_b:hardsteelblockgrass s_a_b:hardsteelblockgrassbadlands
s_a_b:badlandslight | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_bush s_a_b:lightsteelblockgrass s_a_b:lightsteelblockgrassbadlands
s_a_b:colonialbase | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:blacksteelblock s_a_b:colonialsteelblock s_a_b:olivesteelblock
s_a_b:colonialdouble | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:blackdoublesteelblock s_a_b:colonialdoublesteelblock s_a_b:olivedoublesteel
s_a_b:colonialhard | minecraft:crafting_shaped | minecraft:crafting_shaped s_a_b:blackhardsteelblock s_a_b:colonialhardsteelblock s_a_b:olivehardsteel
s_a_b:coloniallight | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:blacklightsteelblock s_a_b:coloniallightsteelblock s_a_b:olivelightsteel
s_a_b:dirtbase | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dirt s_a_b:steelblock s_a_b:steelblockdirt
s_a_b:dirtdouble | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dirt s_a_b:doublesteelblock s_a_b:doublesteelblockdirt
s_a_b:dirthard | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dirt s_a_b:hardsteelblock s_a_b:hardsteelblockdirt
s_a_b:dirtlight | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dirt s_a_b:lightsteelblock s_a_b:lightsteelblockdirt
s_a_b:glassarmor | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:glass s_a_b:deleted_mod_element s_a_b:hardsteelblock
s_a_b:grassbase | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:moss_block s_a_b:steelblock s_a_b:steelblockgrass
s_a_b:grassdouble | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:moss_block s_a_b:doublesteelblock s_a_b:doublesteelblockgrass
s_a_b:grasshard | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:moss_block s_a_b:hardsteelblock s_a_b:hardsteelblockgrass
s_a_b:grasslight | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:moss_block s_a_b:lightsteelblock s_a_b:lightsteelblockgrass
s_a_b:junglebase | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_sapling s_a_b:steelblockgrass s_a_b:steelblockgrassjungle
s_a_b:jungledouble | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_sapling s_a_b:doublesteelblockgrass s_a_b:doublesteelblockgrassjungle
s_a_b:junglehard | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_sapling s_a_b:hardsteelblockgrass s_a_b:hardsteelblockgrassjungle
s_a_b:junglelight | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_sapling s_a_b:lightsteelblockgrass s_a_b:lightsteelblockgrassjungle
s_a_b:lightskybase | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:steelblockcamosky s_a_b:steelblocklightsky s_a_b:whitesteelblock
s_a_b:lightskydouble | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:doublesteelblockcamosky s_a_b:doublesteelblocklightsky s_a_b:whitedoublesteelblock
