samurai_dynasty:cloth | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:wool samurai_dynasty:cloth
samurai_dynasty:cloth_to_wool | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:white_wool samurai_dynasty:cloth
samurai_dynasty:dyed_armor/netherite_samurai_boots_from_dye_black | minecraft:crafting_shapeless | minecraft:black_dye minecraft:crafting_shapeless samurai_dynasty:netherite_samurai_boots
samurai_dynasty:dyed_armor/netherite_samurai_boots_from_dye_blue | minecraft:crafting_shapeless | minecraft:blue_dye minecraft:crafting_shapeless samurai_dynasty:netherite_samurai_boots
samurai_dynasty:dyed_armor/netherite_samurai_boots_from_dye_brown | minecraft:crafting_shapeless | minecraft:brown_dye minecraft:crafting_shapeless samurai_dynasty:netherite_samurai_boots
samurai_dynasty:dyed_armor/netherite_samurai_boots_from_dye_cyan | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye samurai_dynasty:netherite_samurai_boots
samurai_dynasty:dyed_armor/netherite_samurai_boots_from_dye_gray | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gray_dye samurai_dynasty:netherite_samurai_boots
samurai_dynasty:dyed_armor/netherite_samurai_boots_from_dye_green | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:green_dye samurai_dynasty:netherite_samurai_boots
samurai_dynasty:dyed_armor/netherite_samurai_boots_from_dye_light_blue | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_blue_dye samurai_dynasty:netherite_samurai_boots
samurai_dynasty:dyed_armor/netherite_samurai_boots_from_dye_light_gray | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_gray_dye samurai_dynasty:netherite_samurai_boots
samurai_dynasty:dyed_armor/netherite_samurai_boots_from_dye_lime | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:lime_dye samurai_dynasty:netherite_samurai_boots
samurai_dynasty:dyed_armor/netherite_samurai_boots_from_dye_magenta | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:magenta_dye samurai_dynasty:netherite_samurai_boots
samurai_dynasty:dyed_armor/netherite_samurai_boots_from_dye_orange | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:orange_dye samurai_dynasty:netherite_samurai_boots
samurai_dynasty:dyed_armor/netherite_samurai_boots_from_dye_pink | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:pink_dye samurai_dynasty:netherite_samurai_boots
samurai_dynasty:dyed_armor/netherite_samurai_boots_from_dye_purple | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:purple_dye samurai_dynasty:netherite_samurai_boots
samurai_dynasty:dyed_armor/netherite_samurai_boots_from_dye_red | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:red_dye samurai_dynasty:netherite_samurai_boots
samurai_dynasty:dyed_armor/netherite_samurai_boots_from_dye_white | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:white_dye samurai_dynasty:netherite_samurai_boots
samurai_dynasty:dyed_armor/netherite_samurai_boots_from_dye_yellow | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:yellow_dye samurai_dynasty:netherite_samurai_boots
samurai_dynasty:dyed_armor/netherite_samurai_chestplate_from_dye_black | minecraft:crafting_shapeless | minecraft:black_dye minecraft:crafting_shapeless samurai_dynasty:netherite_samurai_chestplate
samurai_dynasty:dyed_armor/netherite_samurai_chestplate_from_dye_blue | minecraft:crafting_shapeless | minecraft:blue_dye minecraft:crafting_shapeless samurai_dynasty:netherite_samurai_chestplate
samurai_dynasty:dyed_armor/netherite_samurai_chestplate_from_dye_brown | minecraft:crafting_shapeless | minecraft:brown_dye minecraft:crafting_shapeless samurai_dynasty:netherite_samurai_chestplate
samurai_dynasty:dyed_armor/netherite_samurai_chestplate_from_dye_cyan | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye samurai_dynasty:netherite_samurai_chestplate
samurai_dynasty:dyed_armor/netherite_samurai_chestplate_from_dye_gray | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gray_dye samurai_dynasty:netherite_samurai_chestplate
samurai_dynasty:dyed_armor/netherite_samurai_chestplate_from_dye_green | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:green_dye samurai_dynasty:netherite_samurai_chestplate
samurai_dynasty:dyed_armor/netherite_samurai_chestplate_from_dye_light_blue | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_blue_dye samurai_dynasty:netherite_samurai_chestplate
samurai_dynasty:dyed_armor/netherite_samurai_chestplate_from_dye_light_gray | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_gray_dye samurai_dynasty:netherite_samurai_chestplate
samurai_dynasty:dyed_armor/netherite_samurai_chestplate_from_dye_lime | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:lime_dye samurai_dynasty:netherite_samurai_chestplate
samurai_dynasty:dyed_armor/netherite_samurai_chestplate_from_dye_magenta | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:magenta_dye samurai_dynasty:netherite_samurai_chestplate
samurai_dynasty:dyed_armor/netherite_samurai_chestplate_from_dye_orange | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:orange_dye samurai_dynasty:netherite_samurai_chestplate
samurai_dynasty:dyed_armor/netherite_samurai_chestplate_from_dye_pink | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:pink_dye samurai_dynasty:netherite_samurai_chestplate
samurai_dynasty:dyed_armor/netherite_samurai_chestplate_from_dye_purple | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:purple_dye samurai_dynasty:netherite_samurai_chestplate
samurai_dynasty:dyed_armor/netherite_samurai_chestplate_from_dye_red | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:red_dye samurai_dynasty:netherite_samurai_chestplate
samurai_dynasty:dyed_armor/netherite_samurai_chestplate_from_dye_white | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:white_dye samurai_dynasty:netherite_samurai_chestplate
samurai_dynasty:dyed_armor/netherite_samurai_chestplate_from_dye_yellow | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:yellow_dye samurai_dynasty:netherite_samurai_chestplate
