spawn:algal_reefstone | minecraft:crafting_shapeless | minecraft:crafting_shapeless spawn:algal_reefstone spawn:red_algae_block spawn:reefstone
spawn:algal_reefstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped spawn:algal_reefstone spawn:algal_reefstone_slab
spawn:algal_reefstone_slab_from_algal_reefstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting spawn:algal_reefstone spawn:algal_reefstone_slab
spawn:algal_reefstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped spawn:algal_reefstone spawn:algal_reefstone_stairs
spawn:algal_reefstone_stairs_from_algal_reefstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting spawn:algal_reefstone spawn:algal_reefstone_stairs
spawn:algal_reefstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped spawn:algal_reefstone spawn:algal_reefstone_wall
spawn:algal_reefstone_wall_from_algal_reefstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting spawn:algal_reefstone spawn:algal_reefstone_wall
spawn:ant_farm | minecraft:crafting_shaped | minecraft:coarse_dirt minecraft:crafting_shaped minecraft:glass spawn:ant_farm spawn:ant_pupa
spawn:big_sea_pickle | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:sea_pickle spawn:big_sea_pickle
spawn:big_snail_shell | minecraft:crafting_shaped | minecraft:crafting_shaped spawn:big_snail_shell spawn:snail_shell
spawn:blasted_sandstone | minecraft:crafting_shaped | minecraft:crafting_shaped spawn:blasted_sand spawn:blasted_sandstone
spawn:blasted_sandstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped spawn:blasted_sandstone spawn:blasted_sandstone_slab spawn:chiseled_blasted_sandstone
spawn:blasted_sandstone_slab_from_blasted_sandstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting spawn:blasted_sandstone spawn:blasted_sandstone_slab
spawn:blasted_sandstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped spawn:blasted_sandstone spawn:blasted_sandstone_stairs spawn:chiseled_blasted_sandstone spawn:cut_blasted_sandstone
spawn:blasted_sandstone_stairs_from_blasted_sandstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting spawn:blasted_sandstone spawn:blasted_sandstone_stairs
spawn:blasted_sandstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped spawn:blasted_sandstone spawn:blasted_sandstone_wall
spawn:blasted_sandstone_wall_from_blasted_sandstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting spawn:blasted_sandstone spawn:blasted_sandstone_wall
spawn:blue_dye_from_booby_egg_shard | minecraft:crafting_shapeless | minecraft:blue_dye minecraft:crafting_shapeless spawn:booby_egg_shard
spawn:blue_footed_boots | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:leather_boots spawn:blue_footed_boots spawn:booby_egg_shard
spawn:bluefish_roll | minecraft:crafting_shapeless | farmersdelight:cooked_rice minecraft:crafting_shapeless neoforge:mod_loaded spawn:bluefish_roll spawn:bluefish_slice
spawn:bone_meal_from_dead_sea_star | minecraft:crafting_shapeless | minecraft:bone_meal minecraft:crafting_shapeless spawn:dead_sea_star
spawn:bone_meal_from_dead_sea_urchin | minecraft:crafting_shapeless | minecraft:bone_meal minecraft:crafting_shapeless spawn:dead_sea_urchin
spawn:bone_meal_from_shell_fragments | minecraft:crafting_shapeless | minecraft:bone_meal minecraft:crafting_shapeless spawn:shell_fragments
spawn:bone_meal_from_snail_shell | minecraft:crafting_shapeless | minecraft:bone_meal minecraft:crafting_shapeless spawn:snail_shell
spawn:canned_herring | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:mod_loaded spawn:canned_herring spawn:cooked_herring_slice
spawn:casting_net | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:string spawn:casting_net spawn:shell_fragments
spawn:chiseled_blasted_sandstone | minecraft:crafting_shaped | minecraft:crafting_shaped spawn:blasted_sandstone_slab spawn:chiseled_blasted_sandstone
spawn:chiseled_blasted_sandstone_from_blasted_sandstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting spawn:blasted_sandstone spawn:chiseled_blasted_sandstone
spawn:clam_case_purple | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:purple_dye spawn:clam_case_purple spawn:shell_fragments
spawn:clam_case_red | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:red_dye spawn:clam_case_red spawn:shell_fragments
spawn:clam_case_white | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:white_dye spawn:clam_case_white spawn:shell_fragments
spawn:clam_case_yellow | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:yellow_dye spawn:clam_case_yellow spawn:shell_fragments
spawn:clam_chowder | minecraft:crafting_shapeless | minecraft:bowl minecraft:carrot minecraft:crafting_shapeless minecraft:potato neoforge:mod_loaded neoforge:not spawn:clam_chowder spawn:cooked_clam
spawn:clam_chowder_fd | minecraft:crafting_shapeless | farmersdelight:milk_bottle minecraft:bowl minecraft:crafting_shapeless minecraft:potato neoforge:mod_loaded spawn:clam_chowder spawn:cooked_clam
spawn:cooked_bluefish | minecraft:smelting | minecraft:smelting spawn:bluefish spawn:cooked_bluefish
spawn:cooked_bluefish_from_campfire_cooking | minecraft:campfire_cooking | minecraft:campfire_cooking spawn:bluefish spawn:cooked_bluefish
spawn:cooked_bluefish_from_smoking | minecraft:smoking | minecraft:smoking spawn:bluefish spawn:cooked_bluefish
spawn:cooked_bluefish_slice | minecraft:smelting | minecraft:smelting spawn:bluefish_slice spawn:cooked_bluefish_slice
spawn:cooked_bluefish_slice_from_campfire_cooking | minecraft:campfire_cooking | minecraft:campfire_cooking spawn:bluefish_slice spawn:cooked_bluefish_slice
spawn:cooked_bluefish_slice_from_smoking | minecraft:smoking | minecraft:smoking spawn:bluefish_slice spawn:cooked_bluefish_slice
spawn:cooked_clam | minecraft:smelting | minecraft:smelting spawn:clam spawn:cooked_clam
spawn:cooked_clam_from_campfire_cooking | minecraft:campfire_cooking | minecraft:campfire_cooking spawn:clam spawn:cooked_clam
