supplementaries:altimeter | minecraft:crafting_shaped | c:ingots/copper minecraft:crafting_shaped minecraft:redstone supplementaries:altimeter supplementaries:flag
supplementaries:antique_book | supplementaries:antique_book | supplementaries:antique_book supplementaries:antique_ink supplementaries:flag
supplementaries:antique_book_clean | supplementaries:antique_book | supplementaries:antique_book supplementaries:flag supplementaries:soap
supplementaries:antique_map | supplementaries:weathered_map | supplementaries:antique_ink supplementaries:flag supplementaries:weathered_map
supplementaries:antique_map_clean | supplementaries:weathered_map | supplementaries:flag supplementaries:soap supplementaries:weathered_map
supplementaries:ash_brick | minecraft:smelting | c:ash minecraft:smelting supplementaries:ash_brick supplementaries:flag
supplementaries:ash_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:ash_bricks supplementaries:ash_bricks_slab supplementaries:flag
supplementaries:ash_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:ash_bricks supplementaries:ash_bricks_stairs supplementaries:flag
supplementaries:ash_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:ash_bricks supplementaries:ash_bricks_wall supplementaries:flag
supplementaries:ash_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:ash_brick supplementaries:ash_bricks supplementaries:flag
supplementaries:ash_soot | minecraft:crafting_shapeless | fabric:mod_loaded immersive_weathering:soot minecraft:crafting_shapeless neoforge:mod_loaded supplementaries:ash supplementaries:flag
supplementaries:awnings/awning | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped supplementaries:awning supplementaries:flag supplementaries:flax
supplementaries:awnings/awning_black | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless supplementaries:awning supplementaries:awning_black supplementaries:flag
supplementaries:awnings/awning_black_2 | minecraft:crafting_shaped | c:rods/wooden fabric:not minecraft:black_carpet minecraft:crafting_shaped neoforge:not supplementaries:awning_black supplementaries:flag
supplementaries:awnings/awning_blue | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless supplementaries:awning supplementaries:awning_blue supplementaries:flag
supplementaries:awnings/awning_blue_2 | minecraft:crafting_shaped | c:rods/wooden fabric:not minecraft:blue_carpet minecraft:crafting_shaped neoforge:not supplementaries:awning_blue supplementaries:flag
supplementaries:awnings/awning_brown | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless supplementaries:awning supplementaries:awning_brown supplementaries:flag
supplementaries:awnings/awning_brown_2 | minecraft:crafting_shaped | c:rods/wooden fabric:not minecraft:brown_carpet minecraft:crafting_shaped neoforge:not supplementaries:awning_brown supplementaries:flag
supplementaries:awnings/awning_cyan | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless supplementaries:awning supplementaries:awning_cyan supplementaries:flag
supplementaries:awnings/awning_cyan_2 | minecraft:crafting_shaped | c:rods/wooden fabric:not minecraft:crafting_shaped minecraft:cyan_carpet neoforge:not supplementaries:awning_cyan supplementaries:flag
supplementaries:awnings/awning_gray | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless supplementaries:awning supplementaries:awning_gray supplementaries:flag
supplementaries:awnings/awning_gray_2 | minecraft:crafting_shaped | c:rods/wooden fabric:not minecraft:crafting_shaped minecraft:gray_carpet neoforge:not supplementaries:awning_gray supplementaries:flag
supplementaries:awnings/awning_green | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless supplementaries:awning supplementaries:awning_green supplementaries:flag
supplementaries:awnings/awning_green_2 | minecraft:crafting_shaped | c:rods/wooden fabric:not minecraft:crafting_shaped minecraft:green_carpet neoforge:not supplementaries:awning_green supplementaries:flag
supplementaries:awnings/awning_light_blue | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless supplementaries:awning supplementaries:awning_light_blue supplementaries:flag
supplementaries:awnings/awning_light_blue_2 | minecraft:crafting_shaped | c:rods/wooden fabric:not minecraft:crafting_shaped minecraft:light_blue_carpet neoforge:not supplementaries:awning_light_blue supplementaries:flag
supplementaries:awnings/awning_light_gray | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless supplementaries:awning supplementaries:awning_light_gray supplementaries:flag
supplementaries:awnings/awning_light_gray_2 | minecraft:crafting_shaped | c:rods/wooden fabric:not minecraft:crafting_shaped minecraft:light_gray_carpet neoforge:not supplementaries:awning_light_gray supplementaries:flag
supplementaries:awnings/awning_lime | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless supplementaries:awning supplementaries:awning_lime supplementaries:flag
supplementaries:awnings/awning_lime_2 | minecraft:crafting_shaped | c:rods/wooden fabric:not minecraft:crafting_shaped minecraft:lime_carpet neoforge:not supplementaries:awning_lime supplementaries:flag
supplementaries:awnings/awning_magenta | minecraft:crafting_shapeless | c:dyes/magenta minecraft:crafting_shapeless supplementaries:awning supplementaries:awning_magenta supplementaries:flag
supplementaries:awnings/awning_magenta_2 | minecraft:crafting_shaped | c:rods/wooden fabric:not minecraft:crafting_shaped minecraft:magenta_carpet neoforge:not supplementaries:awning_magenta supplementaries:flag
supplementaries:awnings/awning_orange | minecraft:crafting_shapeless | c:dyes/orange minecraft:crafting_shapeless supplementaries:awning supplementaries:awning_orange supplementaries:flag
supplementaries:awnings/awning_orange_2 | minecraft:crafting_shaped | c:rods/wooden fabric:not minecraft:crafting_shaped minecraft:orange_carpet neoforge:not supplementaries:awning_orange supplementaries:flag
supplementaries:awnings/awning_pink | minecraft:crafting_shapeless | c:dyes/pink minecraft:crafting_shapeless supplementaries:awning supplementaries:awning_pink supplementaries:flag
supplementaries:awnings/awning_pink_2 | minecraft:crafting_shaped | c:rods/wooden fabric:not minecraft:crafting_shaped minecraft:pink_carpet neoforge:not supplementaries:awning_pink supplementaries:flag
supplementaries:awnings/awning_purple | minecraft:crafting_shapeless | c:dyes/purple minecraft:crafting_shapeless supplementaries:awning supplementaries:awning_purple supplementaries:flag
supplementaries:awnings/awning_purple_2 | minecraft:crafting_shaped | c:rods/wooden fabric:not minecraft:crafting_shaped minecraft:purple_carpet neoforge:not supplementaries:awning_purple supplementaries:flag
supplementaries:awnings/awning_red | minecraft:crafting_shapeless | c:dyes/red minecraft:crafting_shapeless supplementaries:awning supplementaries:awning_red supplementaries:flag
supplementaries:awnings/awning_red_2 | minecraft:crafting_shaped | c:rods/wooden fabric:not minecraft:crafting_shaped minecraft:red_carpet neoforge:not supplementaries:awning_red supplementaries:flag
supplementaries:awnings/awning_white | minecraft:crafting_shapeless | c:dyes/white minecraft:crafting_shapeless supplementaries:awning supplementaries:awning_white supplementaries:flag
supplementaries:awnings/awning_white_2 | minecraft:crafting_shaped | c:rods/wooden fabric:not minecraft:crafting_shaped minecraft:white_carpet neoforge:not supplementaries:awning_white supplementaries:flag
supplementaries:awnings/awning_yellow | minecraft:crafting_shapeless | c:dyes/yellow minecraft:crafting_shapeless supplementaries:awning supplementaries:awning_yellow supplementaries:flag
supplementaries:awnings/awning_yellow_2 | minecraft:crafting_shaped | c:rods/wooden fabric:not minecraft:crafting_shaped minecraft:yellow_carpet neoforge:not supplementaries:awning_yellow supplementaries:flag
supplementaries:bamboo_spikes | minecraft:crafting_shaped | minecraft:bamboo minecraft:crafting_shaped minecraft:wooden_slabs supplementaries:bamboo_spikes supplementaries:flag
supplementaries:bamboo_spikes_tipped | supplementaries:bamboo_spikes_tipped | supplementaries:bamboo_spikes_tipped supplementaries:flag
supplementaries:bed_from_feather_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:planks minecraft:white_bed supplementaries:feather_block supplementaries:flag
supplementaries:bellows | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:leather minecraft:wooden_slabs supplementaries:bellows supplementaries:flag
supplementaries:blackboard | minecraft:crafting_shaped | minecraft:blackstone minecraft:crafting_shaped minecraft:wooden_slabs supplementaries:blackboard supplementaries:blackboard_white supplementaries:flag
supplementaries:blackboard_duplicate | supplementaries:blackboard_duplicate | supplementaries:blackboard_duplicate supplementaries:flag
supplementaries:blackstone_lamp | minecraft:crafting_shaped | minecraft:blackstone minecraft:crafting_shaped minecraft:soul_torch supplementaries:blackstone_lamp supplementaries:flag
supplementaries:blackstone_tile | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:polished_blackstone_bricks supplementaries:blackstone_tile supplementaries:flag
supplementaries:blackstone_tile_slab | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:blackstone_tile supplementaries:blackstone_tile_slab supplementaries:flag
supplementaries:blackstone_tile_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:blackstone_tile supplementaries:blackstone_tile_stairs supplementaries:flag
supplementaries:blackstone_tile_wall | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:blackstone_tile supplementaries:blackstone_tile_wall supplementaries:flag
supplementaries:blast_armor_trim_smithing_template | minecraft:crafting_shaped | minecraft:cobblestone minecraft:crafting_shaped minecraft:diamond supplementaries:blast_armor_trim_smithing_template
supplementaries:blast_armor_trim_smithing_template_smithing_trim | minecraft:smithing_trim | minecraft:smithing_trim minecraft:trim_materials minecraft:trimmable_armor supplementaries:blast_armor_trim_smithing_template
supplementaries:boat_jar | minecraft:crafting_shapeless | minecraft:boats minecraft:crafting_shapeless supplementaries:flag supplementaries:jar supplementaries:jar_boat
supplementaries:bomb | minecraft:crafting_shaped | c:ingots/iron c:strings minecraft:crafting_shaped minecraft:tnt supplementaries:bomb supplementaries:flag
supplementaries:bubble_blower | minecraft:crafting_shaped | c:ingots/iron c:nuggets/iron minecraft:crafting_shaped supplementaries:bubble_blower supplementaries:flag
supplementaries:bubble_blower_charge | supplementaries:add_charges | supplementaries:add_charges supplementaries:bubble_blower supplementaries:flag supplementaries:soap
supplementaries:buntings/bunting_black | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless supplementaries:bunting_black supplementaries:bunting_white supplementaries:flag
supplementaries:buntings/bunting_black_2 | minecraft:crafting_shaped | c:strings minecraft:black_wool minecraft:crafting_shaped supplementaries:bunting_black supplementaries:flag
supplementaries:buntings/bunting_blue | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless supplementaries:bunting_blue supplementaries:bunting_white supplementaries:flag
supplementaries:buntings/bunting_blue_2 | minecraft:crafting_shaped | c:strings minecraft:blue_wool minecraft:crafting_shaped supplementaries:bunting_blue supplementaries:flag
supplementaries:buntings/bunting_brown | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless supplementaries:bunting_brown supplementaries:bunting_white supplementaries:flag
supplementaries:buntings/bunting_brown_2 | minecraft:crafting_shaped | c:strings minecraft:brown_wool minecraft:crafting_shaped supplementaries:bunting_brown supplementaries:flag
supplementaries:buntings/bunting_cyan | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless supplementaries:bunting_cyan supplementaries:bunting_white supplementaries:flag
supplementaries:buntings/bunting_cyan_2 | minecraft:crafting_shaped | c:strings minecraft:crafting_shaped minecraft:cyan_wool supplementaries:bunting_cyan supplementaries:flag
supplementaries:buntings/bunting_gray | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless supplementaries:bunting_gray supplementaries:bunting_white supplementaries:flag
supplementaries:buntings/bunting_gray_2 | minecraft:crafting_shaped | c:strings minecraft:crafting_shaped minecraft:gray_wool supplementaries:bunting_gray supplementaries:flag
supplementaries:buntings/bunting_green | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless supplementaries:bunting_green supplementaries:bunting_white supplementaries:flag
supplementaries:buntings/bunting_green_2 | minecraft:crafting_shaped | c:strings minecraft:crafting_shaped minecraft:green_wool supplementaries:bunting_green supplementaries:flag
supplementaries:buntings/bunting_light_blue | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless supplementaries:bunting_light_blue supplementaries:bunting_white supplementaries:flag
supplementaries:buntings/bunting_light_blue_2 | minecraft:crafting_shaped | c:strings minecraft:crafting_shaped minecraft:light_blue_wool supplementaries:bunting_light_blue supplementaries:flag
supplementaries:buntings/bunting_light_gray | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless supplementaries:bunting_light_gray supplementaries:bunting_white supplementaries:flag
supplementaries:buntings/bunting_light_gray_2 | minecraft:crafting_shaped | c:strings minecraft:crafting_shaped minecraft:light_gray_wool supplementaries:bunting_light_gray supplementaries:flag
supplementaries:buntings/bunting_lime | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless supplementaries:bunting_lime supplementaries:bunting_white supplementaries:flag
supplementaries:buntings/bunting_lime_2 | minecraft:crafting_shaped | c:strings minecraft:crafting_shaped minecraft:lime_wool supplementaries:bunting_lime supplementaries:flag
supplementaries:buntings/bunting_magenta | minecraft:crafting_shapeless | c:dyes/magenta minecraft:crafting_shapeless supplementaries:bunting_magenta supplementaries:bunting_white supplementaries:flag
supplementaries:buntings/bunting_magenta_2 | minecraft:crafting_shaped | c:strings minecraft:crafting_shaped minecraft:magenta_wool supplementaries:bunting_magenta supplementaries:flag
supplementaries:buntings/bunting_orange | minecraft:crafting_shapeless | c:dyes/orange minecraft:crafting_shapeless supplementaries:bunting_orange supplementaries:bunting_white supplementaries:flag
supplementaries:buntings/bunting_orange_2 | minecraft:crafting_shaped | c:strings minecraft:crafting_shaped minecraft:orange_wool supplementaries:bunting_orange supplementaries:flag
supplementaries:buntings/bunting_pink | minecraft:crafting_shapeless | c:dyes/pink minecraft:crafting_shapeless supplementaries:bunting_pink supplementaries:bunting_white supplementaries:flag
supplementaries:buntings/bunting_pink_2 | minecraft:crafting_shaped | c:strings minecraft:crafting_shaped minecraft:pink_wool supplementaries:bunting_pink supplementaries:flag
supplementaries:buntings/bunting_purple | minecraft:crafting_shapeless | c:dyes/purple minecraft:crafting_shapeless supplementaries:bunting_purple supplementaries:bunting_white supplementaries:flag
supplementaries:buntings/bunting_purple_2 | minecraft:crafting_shaped | c:strings minecraft:crafting_shaped minecraft:purple_wool supplementaries:bunting_purple supplementaries:flag
supplementaries:buntings/bunting_red | minecraft:crafting_shapeless | c:dyes/red minecraft:crafting_shapeless supplementaries:bunting_red supplementaries:bunting_white supplementaries:flag
supplementaries:buntings/bunting_red_2 | minecraft:crafting_shaped | c:strings minecraft:crafting_shaped minecraft:red_wool supplementaries:bunting_red supplementaries:flag
supplementaries:buntings/bunting_white | minecraft:crafting_shapeless | c:dyes/white minecraft:crafting_shapeless supplementaries:bunting_white supplementaries:flag
supplementaries:buntings/bunting_white_2 | minecraft:crafting_shaped | c:strings minecraft:crafting_shaped minecraft:white_wool supplementaries:bunting_white supplementaries:flag
supplementaries:buntings/bunting_yellow | minecraft:crafting_shapeless | c:dyes/yellow minecraft:crafting_shapeless supplementaries:bunting_white supplementaries:bunting_yellow supplementaries:flag
supplementaries:buntings/bunting_yellow_2 | minecraft:crafting_shaped | c:strings minecraft:crafting_shaped minecraft:yellow_wool supplementaries:bunting_yellow supplementaries:flag
supplementaries:cage | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:iron_bars minecraft:wooden_slabs supplementaries:cage supplementaries:flag
supplementaries:candle_holders/candle_holder | minecraft:crafting_shaped | c:ingots/iron minecraft:candle minecraft:crafting_shaped supplementaries:candle_holder supplementaries:flag
supplementaries:candle_holders/candle_holder_black | minecraft:crafting_shaped | c:ingots/iron minecraft:black_candle minecraft:crafting_shaped supplementaries:candle_holder_black supplementaries:flag
supplementaries:candle_holders/candle_holder_black_dye | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless supplementaries:candle_holder supplementaries:candle_holder_black supplementaries:flag
supplementaries:candle_holders/candle_holder_blue | minecraft:crafting_shaped | c:ingots/iron minecraft:blue_candle minecraft:crafting_shaped supplementaries:candle_holder_blue supplementaries:flag
supplementaries:candle_holders/candle_holder_blue_dye | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless supplementaries:candle_holder supplementaries:candle_holder_blue supplementaries:flag
supplementaries:candle_holders/candle_holder_brown | minecraft:crafting_shaped | c:ingots/iron minecraft:brown_candle minecraft:crafting_shaped supplementaries:candle_holder_brown supplementaries:flag
supplementaries:candle_holders/candle_holder_brown_dye | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless supplementaries:candle_holder supplementaries:candle_holder_brown supplementaries:flag
supplementaries:candle_holders/candle_holder_cupric | minecraft:crafting_shaped | buzzier_bees:cupric_candle c:ingots/iron fabric:mod_loaded minecraft:crafting_shaped neoforge:mod_loaded supplementaries:candle_holder_cupric supplementaries:flag
supplementaries:candle_holders/candle_holder_cyan | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:cyan_candle supplementaries:candle_holder_cyan supplementaries:flag
supplementaries:candle_holders/candle_holder_cyan_dye | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless supplementaries:candle_holder supplementaries:candle_holder_cyan supplementaries:flag
supplementaries:candle_holders/candle_holder_ender | minecraft:crafting_shaped | buzzier_bees:ender_candle c:ingots/iron fabric:mod_loaded minecraft:crafting_shaped neoforge:mod_loaded supplementaries:candle_holder_ender supplementaries:flag
supplementaries:candle_holders/candle_holder_gray | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:gray_candle supplementaries:candle_holder_gray supplementaries:flag
supplementaries:candle_holders/candle_holder_gray_dye | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless supplementaries:candle_holder supplementaries:candle_holder_gray supplementaries:flag
supplementaries:candle_holders/candle_holder_green | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:green_candle supplementaries:candle_holder_green supplementaries:flag
supplementaries:candle_holders/candle_holder_green_dye | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless supplementaries:candle_holder supplementaries:candle_holder_green supplementaries:flag
supplementaries:candle_holders/candle_holder_light_blue | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:light_blue_candle supplementaries:candle_holder_light_blue supplementaries:flag
supplementaries:candle_holders/candle_holder_light_blue_dye | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless supplementaries:candle_holder supplementaries:candle_holder_light_blue supplementaries:flag
supplementaries:candle_holders/candle_holder_light_gray | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:light_gray_candle supplementaries:candle_holder_light_gray supplementaries:flag
supplementaries:candle_holders/candle_holder_light_gray_dye | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless supplementaries:candle_holder supplementaries:candle_holder_light_gray supplementaries:flag
supplementaries:candle_holders/candle_holder_lime | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:lime_candle supplementaries:candle_holder_lime supplementaries:flag
supplementaries:candle_holders/candle_holder_lime_dye | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless supplementaries:candle_holder supplementaries:candle_holder_lime supplementaries:flag
supplementaries:candle_holders/candle_holder_magenta | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:magenta_candle supplementaries:candle_holder_magenta supplementaries:flag
supplementaries:candle_holders/candle_holder_magenta_dye | minecraft:crafting_shapeless | c:dyes/magenta minecraft:crafting_shapeless supplementaries:candle_holder supplementaries:candle_holder_magenta supplementaries:flag
supplementaries:candle_holders/candle_holder_orange | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:orange_candle supplementaries:candle_holder_orange supplementaries:flag
supplementaries:candle_holders/candle_holder_orange_dye | minecraft:crafting_shapeless | c:dyes/orange minecraft:crafting_shapeless supplementaries:candle_holder supplementaries:candle_holder_orange supplementaries:flag
