create:crushing/bauxite | create:crushing | create:crushing tfmg:bauxite tfmg:bauxite_powder
create:crushing/coal_coke | create:crushing | create:crushing tfmg:coal_coke tfmg:coal_coke_dust
create:crushing/copper_sulfate | create:crushing | create:crushing minecraft:blue_dye minecraft:bone_meal minecraft:cyan_dye tfmg:copper_sulfate
create:crushing/deepslate_lithium_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate tfmg:crushed_raw_lithium tfmg:deepslate_lithium_ore
create:crushing/dirt | create:crushing | create:crushing minecraft:dirt tfmg:nitrate_dust
create:crushing/galena | create:crushing | create:crushed_raw_lead create:crushing tfmg:galena tfmg:lead_nugget
create:crushing/lignite | create:crushing | create:crushing minecraft:coal tfmg:lignite
create:crushing/limestone | create:crushing | create:crushing create:limestone tfmg:limesand
create:crushing/lithium_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone tfmg:crushed_raw_lithium tfmg:lithium_ore
create:crushing/raw_lithium | create:crushing | create:crushing create:experience_nugget tfmg:crushed_raw_lithium tfmg:raw_lithium
create:crushing/raw_lithium_block | create:crushing | create:crushing create:experience_nugget tfmg:crushed_raw_lithium tfmg:raw_lithium_block
create:crushing/slag_block | create:crushing | create:crushing tfmg:slag tfmg:slag_block
create:crushing/sulfur | create:crushing | create:crushing tfmg:sulfur tfmg:sulfur_dust
tfmg:aluminum_bars_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:aluminum_bars
tfmg:aluminum_ladder_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:aluminum_ladder
tfmg:aluminum_scaffolding_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:aluminum_scaffolding
tfmg:aluminum_spool | minecraft:crafting_shaped | c:wires/aluminum minecraft:crafting_shaped tfmg:aluminum_spool tfmg:empty_spool
tfmg:aluminum_wire_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:aluminum_wire
tfmg:asphalt_slab_from_asphalt_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:asphalt tfmg:asphalt_slab
tfmg:asphalt_stairs_from_asphalt_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:asphalt tfmg:asphalt_stairs
tfmg:asphalt_wall_from_asphalt_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:asphalt tfmg:asphalt_wall
tfmg:bauxite_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:bauxite tfmg:stone_types/bauxite
tfmg:bauxite_pillar_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:bauxite_pillar tfmg:stone_types/bauxite
tfmg:black_concrete_slab_from_black_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:black_concrete tfmg:black_concrete_slab
tfmg:black_concrete_stairs_from_black_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:black_concrete tfmg:black_concrete_stairs
tfmg:black_concrete_wall_from_black_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:black_concrete tfmg:black_concrete_wall
tfmg:black_rebar_concrete_slab_from_black_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:black_rebar_concrete tfmg:black_rebar_concrete_slab
tfmg:black_rebar_concrete_stairs_from_black_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:black_rebar_concrete tfmg:black_rebar_concrete_stairs
tfmg:black_rebar_concrete_wall_from_black_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:black_rebar_concrete tfmg:black_rebar_concrete_wall
tfmg:blasting/lead_ingot_blasting | minecraft:blasting | minecraft:blasting tfmg:lead_ingot tfmg:raw_lead
tfmg:blasting/lead_ingot_from_crushed_blasting | minecraft:blasting | create:crushed_raw_lead minecraft:blasting tfmg:lead_ingot
tfmg:blasting/lithium_ingot_blasting | minecraft:blasting | minecraft:blasting tfmg:lithium_ingot tfmg:raw_lithium
tfmg:blasting/lithium_ingot_from_crushed_blasting | minecraft:blasting | minecraft:blasting tfmg:crushed_raw_lithium tfmg:lithium_ingot
tfmg:blasting/nickel_ingot_blasting | minecraft:blasting | minecraft:blasting tfmg:nickel_ingot tfmg:raw_nickel
tfmg:blasting/nickel_ingot_from_crushed_blasting | minecraft:blasting | create:crushed_raw_nickel minecraft:blasting tfmg:nickel_ingot
tfmg:blue_caution_block_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:blue_caution_block
tfmg:blue_concrete_slab_from_blue_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:blue_concrete tfmg:blue_concrete_slab
tfmg:blue_concrete_stairs_from_blue_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:blue_concrete tfmg:blue_concrete_stairs
tfmg:blue_concrete_wall_from_blue_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:blue_concrete tfmg:blue_concrete_wall
tfmg:blue_rebar_concrete_slab_from_blue_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:blue_rebar_concrete tfmg:blue_rebar_concrete_slab
tfmg:blue_rebar_concrete_stairs_from_blue_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:blue_rebar_concrete tfmg:blue_rebar_concrete_stairs
tfmg:blue_rebar_concrete_wall_from_blue_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:blue_rebar_concrete tfmg:blue_rebar_concrete_wall
tfmg:brown_caution_block_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:brown_caution_block
tfmg:brown_concrete_slab_from_brown_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:brown_concrete tfmg:brown_concrete_slab
tfmg:brown_concrete_stairs_from_brown_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:brown_concrete tfmg:brown_concrete_stairs
tfmg:brown_concrete_wall_from_brown_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:brown_concrete tfmg:brown_concrete_wall
tfmg:brown_rebar_concrete_slab_from_brown_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:brown_rebar_concrete tfmg:brown_rebar_concrete_slab
tfmg:brown_rebar_concrete_stairs_from_brown_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:brown_rebar_concrete tfmg:brown_rebar_concrete_stairs
tfmg:brown_rebar_concrete_wall_from_brown_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:brown_rebar_concrete tfmg:brown_rebar_concrete_wall
tfmg:cast_iron_bars_from_ingots_cast_iron_stonecutting | minecraft:stonecutting | c:ingots/cast_iron minecraft:stonecutting tfmg:cast_iron_bars
tfmg:cast_iron_ladder_from_ingots_cast_iron_stonecutting | minecraft:stonecutting | c:ingots/cast_iron minecraft:stonecutting tfmg:cast_iron_ladder
