touhou_little_maid:altar_recipe/bookshelf | touhou_little_maid:altar_recipe_serializers | c:gems/diamond minecraft:book minecraft:item minecraft:planks touhou_little_maid:altar_recipe_serializers touhou_little_maid:bookshelf
touhou_little_maid:altar_recipe/broom | touhou_little_maid:altar_recipe_serializers | c:rods/wooden minecraft:ender_eye minecraft:hay_block minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:broom
touhou_little_maid:altar_recipe/camera | touhou_little_maid:altar_recipe_serializers | c:obsidians minecraft:item minecraft:quartz_block touhou_little_maid:altar_recipe_serializers touhou_little_maid:camera
touhou_little_maid:altar_recipe/cchess | touhou_little_maid:altar_recipe_serializers | c:dyes/black c:dyes/red c:gems/diamond minecraft:item minecraft:planks touhou_little_maid:altar_recipe_serializers touhou_little_maid:cchess
touhou_little_maid:altar_recipe/chisel | touhou_little_maid:altar_recipe_serializers | c:dyes/red c:dyes/yellow c:ingots/iron c:rods/wooden minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:chisel
touhou_little_maid:altar_recipe/computer | touhou_little_maid:altar_recipe_serializers | c:gems/diamond minecraft:item minecraft:lever minecraft:note_block minecraft:planks touhou_little_maid:altar_recipe_serializers touhou_little_maid:computer
touhou_little_maid:altar_recipe/crafting_table_backpack | touhou_little_maid:altar_recipe_serializers | c:player_workstations/crafting_tables minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:crafting_table_backpack touhou_little_maid:maid_backpack_middle
touhou_little_maid:altar_recipe/drown_protect_bauble | touhou_little_maid:altar_recipe_serializers | c:crops/nether_wart c:dyes/lime minecraft:fishes minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:drown_protect_bauble
touhou_little_maid:altar_recipe/ender_chest_backpack | touhou_little_maid:altar_recipe_serializers | minecraft:ender_chest minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:ender_chest_backpack touhou_little_maid:maid_backpack_middle
touhou_little_maid:altar_recipe/explosion_protect_bauble | touhou_little_maid:altar_recipe_serializers | c:crops/nether_wart c:dyes/orange c:obsidians minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:explosion_protect_bauble
touhou_little_maid:altar_recipe/extinguisher | touhou_little_maid:altar_recipe_serializers | c:dyes/orange c:dyes/red minecraft:clay_ball minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:extinguisher
touhou_little_maid:altar_recipe/fall_protect_bauble | touhou_little_maid:altar_recipe_serializers | c:crops/nether_wart c:dyes/yellow c:feathers minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:fall_protect_bauble
touhou_little_maid:altar_recipe/fire_protect_bauble | touhou_little_maid:altar_recipe_serializers | c:crops/nether_wart c:dyes/red minecraft:blaze_powder minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:fire_protect_bauble
touhou_little_maid:altar_recipe/furnace_backpack | touhou_little_maid:altar_recipe_serializers | c:player_workstations/furnaces minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:furnace_backpack touhou_little_maid:maid_backpack_middle
touhou_little_maid:altar_recipe/gomoku | touhou_little_maid:altar_recipe_serializers | c:dyes/black c:dyes/white c:gems/diamond minecraft:item minecraft:planks touhou_little_maid:altar_recipe_serializers touhou_little_maid:gomoku
touhou_little_maid:altar_recipe/hakurei_gohei | touhou_little_maid:altar_recipe_serializers | c:rods/wooden minecraft:item minecraft:paper touhou_little_maid:altar_recipe_serializers touhou_little_maid:hakurei_gohei
touhou_little_maid:altar_recipe/item_magnet_bauble | touhou_little_maid:altar_recipe_serializers | c:dusts/redstone c:ingots/iron minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:item_magnet_bauble
touhou_little_maid:altar_recipe/kappa_compass | touhou_little_maid:altar_recipe_serializers | c:dusts/redstone c:dyes/cyan c:obsidians minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:kappa_compass
touhou_little_maid:altar_recipe/keyboard | touhou_little_maid:altar_recipe_serializers | c:gems/diamond minecraft:item minecraft:note_block minecraft:planks touhou_little_maid:altar_recipe_serializers touhou_little_maid:keyboard
touhou_little_maid:altar_recipe/magic_protect_bauble | touhou_little_maid:altar_recipe_serializers | c:crops/nether_wart c:dyes/cyan minecraft:item minecraft:sugar touhou_little_maid:altar_recipe_serializers touhou_little_maid:magic_protect_bauble
touhou_little_maid:altar_recipe/maid_backpack_big | touhou_little_maid:altar_recipe_serializers | c:gems/diamond minecraft:gray_wool minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:maid_backpack_big
touhou_little_maid:altar_recipe/maid_backpack_middle | touhou_little_maid:altar_recipe_serializers | c:ingots/gold minecraft:item minecraft:pink_wool touhou_little_maid:altar_recipe_serializers touhou_little_maid:maid_backpack_middle
touhou_little_maid:altar_recipe/maid_backpack_small | touhou_little_maid:altar_recipe_serializers | c:ingots/iron minecraft:item minecraft:red_wool touhou_little_maid:altar_recipe_serializers touhou_little_maid:maid_backpack_small
touhou_little_maid:altar_recipe/maid_beacon | touhou_little_maid:altar_recipe_serializers | c:dyes/red c:gems/diamond c:obsidians minecraft:item minecraft:planks touhou_little_maid:altar_recipe_serializers touhou_little_maid:maid_beacon
touhou_little_maid:altar_recipe/maid_bed | touhou_little_maid:altar_recipe_serializers | minecraft:item minecraft:pink_wool minecraft:planks touhou_little_maid:altar_recipe_serializers touhou_little_maid:maid_bed
touhou_little_maid:altar_recipe/mute_bauble | touhou_little_maid:altar_recipe_serializers | minecraft:clay_ball minecraft:item minecraft:wool touhou_little_maid:altar_recipe_serializers touhou_little_maid:mute_bauble
