trailandtales_delight:baked_pitcher_pod | minecraft:smelting | minecraft:pitcher_pod minecraft:smelting trailandtales_delight:baked_pitcher_pod
trailandtales_delight:baked_pitcher_pod_from_campfire_cooking | minecraft:campfire_cooking | minecraft:campfire_cooking minecraft:pitcher_pod trailandtales_delight:baked_pitcher_pod
trailandtales_delight:baked_pitcher_pod_from_smoking | minecraft:smoking | minecraft:pitcher_pod minecraft:smoking trailandtales_delight:baked_pitcher_pod
trailandtales_delight:baked_torchflower_seeds | minecraft:smelting | minecraft:smelting minecraft:torchflower_seeds trailandtales_delight:baked_torchflower_seeds
trailandtales_delight:baked_torchflower_seeds_from_campfire_cooking | minecraft:campfire_cooking | minecraft:campfire_cooking minecraft:torchflower_seeds trailandtales_delight:baked_torchflower_seeds
trailandtales_delight:baked_torchflower_seeds_from_smoking | minecraft:smoking | minecraft:smoking minecraft:torchflower_seeds trailandtales_delight:baked_torchflower_seeds
trailandtales_delight:cheese_wheel | minecraft:crafting_shaped | minecraft:crafting_shaped trailandtales_delight:cheese_slice trailandtales_delight:cheese_wheel
trailandtales_delight:cherry_cake | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:sugar minecraft:wheat trailandtales_delight:cheese_slice trailandtales_delight:cherry_cake trailandtales_delight:cherry_petal
trailandtales_delight:cherry_cheese_pie | minecraft:crafting_shaped | farmersdelight:pie_crust minecraft:crafting_shaped minecraft:sugar minecraft:wheat trailandtales_delight:cheese_slice trailandtales_delight:cherry_cheese_pie trailandtales_delight:cherry_petal
trailandtales_delight:cherry_iron_knife_smithing | minecraft:smithing_transform | farmersdelight:iron_knife minecraft:smithing_transform trailandtales_delight:cherry_iron_knife trailandtales_delight:cherry_petal
trailandtales_delight:cooked_sniffer_egg | minecraft:smelting | minecraft:smelting minecraft:sniffer_egg trailandtales_delight:cooked_sniffer_egg_block
trailandtales_delight:cooked_sniffer_egg_from_campfire_cooking | minecraft:campfire_cooking | minecraft:campfire_cooking minecraft:sniffer_egg trailandtales_delight:cooked_sniffer_egg_block
trailandtales_delight:cooked_sniffer_egg_from_smoking | minecraft:smoking | minecraft:smoking minecraft:sniffer_egg trailandtales_delight:cooked_sniffer_egg_block
trailandtales_delight:cooking/ancient_coffee | farmersdelight:cooking | farmersdelight:cooking minecraft:glass_bottle minecraft:potion minecraft:sugar trailandtales_delight:ancient_coffee trailandtales_delight:baked_pitcher_pod trailandtales_delight:baked_torchflower_seeds
trailandtales_delight:cooking/cherry_cheese_slice | farmersdelight:cooking | farmersdelight:cooking minecraft:sugar trailandtales_delight:cheese_slice trailandtales_delight:cherry_cheese_slice trailandtales_delight:cherry_petal
trailandtales_delight:cooking/cherry_petal_tea | farmersdelight:cooking | farmersdelight:cooking minecraft:glass_bottle minecraft:potion minecraft:sugar trailandtales_delight:cherry_petal_tea trailandtales_delight:dried_cherry_petal
trailandtales_delight:cooking/curd_block | farmersdelight:cooking | farmersdelight:cooking minecraft:milk_bucket minecraft:sugar trailandtales_delight:curd_block
trailandtales_delight:cooking/pitcher_plant_tea | farmersdelight:cooking | farmersdelight:cooking minecraft:glass_bottle minecraft:pitcher_plant minecraft:potion minecraft:sugar trailandtales_delight:pitcher_plant_tea
