travelersbackpack:backpack_tank | minecraft:crafting_shaped | c:glass_blocks/colorless c:ingots/iron minecraft:crafting_shaped travelersbackpack:backpack_tank
travelersbackpack:bat_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:bat
travelersbackpack:bee | travelersbackpack:backpack_shaped | minecraft:honey_bottle minecraft:honeycomb travelersbackpack:backpack_shaped travelersbackpack:bee travelersbackpack:standard
travelersbackpack:bee_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:bee
travelersbackpack:black_sleeping_bag | minecraft:crafting_shaped | minecraft:black_wool minecraft:crafting_shaped minecraft:white_wool travelersbackpack:black_sleeping_bag
travelersbackpack:blank_upgrade | minecraft:crafting_shaped | c:leathers c:strings minecraft:crafting_shaped travelersbackpack:blank_upgrade
travelersbackpack:blast_furnace_upgrade | minecraft:crafting_shaped | c:chests/wooden minecraft:blast_furnace minecraft:crafting_shaped travelersbackpack:blank_upgrade travelersbackpack:blast_furnace_upgrade
travelersbackpack:blaze | travelersbackpack:backpack_shaped | c:rods/blaze minecraft:blaze_powder minecraft:fire_charge minecraft:lava_bucket travelersbackpack:backpack_shaped travelersbackpack:blaze travelersbackpack:standard
travelersbackpack:blaze_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:blaze
travelersbackpack:blue_sleeping_bag | minecraft:crafting_shaped | minecraft:blue_wool minecraft:crafting_shaped minecraft:white_wool travelersbackpack:blue_sleeping_bag
travelersbackpack:bookshelf | travelersbackpack:backpack_shaped | minecraft:book minecraft:planks travelersbackpack:backpack_shaped travelersbackpack:bookshelf travelersbackpack:standard
travelersbackpack:bookshelf_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:bookshelf
travelersbackpack:brown_sleeping_bag | minecraft:crafting_shaped | minecraft:brown_wool minecraft:crafting_shaped minecraft:white_wool travelersbackpack:brown_sleeping_bag
travelersbackpack:cactus | travelersbackpack:backpack_shaped | c:dyes/green c:sands minecraft:cactus travelersbackpack:backpack_shaped travelersbackpack:cactus travelersbackpack:standard
travelersbackpack:cactus_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:cactus
travelersbackpack:cake | travelersbackpack:backpack_shaped | c:crops/wheat c:eggs minecraft:milk_bucket minecraft:sugar travelersbackpack:backpack_shaped travelersbackpack:cake travelersbackpack:standard
travelersbackpack:cake_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:cake
travelersbackpack:chicken | travelersbackpack:backpack_shaped | c:eggs c:feathers travelersbackpack:backpack_shaped travelersbackpack:chicken travelersbackpack:standard
travelersbackpack:chicken_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:chicken
travelersbackpack:coal | travelersbackpack:backpack_shaped | minecraft:coals travelersbackpack:backpack_shaped travelersbackpack:coal travelersbackpack:standard
