undergroundworlds:crafting/axe_of_regrowth_1 | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:axe_of_regrowth undergroundworlds:jungle_spores undergroundworlds:jungle_vines undergroundworlds:temple_axe
undergroundworlds:crafting/axe_of_regrowth_2 | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:axe_of_regrowth undergroundworlds:jungle_spores undergroundworlds:jungle_vines undergroundworlds:temple_axe
undergroundworlds:crafting/blade_of_the_jungle_1 | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:blade_of_the_jungle undergroundworlds:jungle_spores undergroundworlds:jungle_vines undergroundworlds:temple_sword
undergroundworlds:crafting/blade_of_the_jungle_2 | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:blade_of_the_jungle undergroundworlds:jungle_spores undergroundworlds:jungle_vines undergroundworlds:temple_sword
undergroundworlds:crafting/chiseled_temple_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:chiseled_temple_bricks undergroundworlds:temple_brick_slab
undergroundworlds:crafting/freezing_axe | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:iron_axe undergroundworlds:freezing_axe undergroundworlds:frozen_core
undergroundworlds:crafting/freezing_hoe | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:iron_hoe undergroundworlds:freezing_hoe undergroundworlds:frozen_core
undergroundworlds:crafting/freezing_pickaxe | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:iron_pickaxe undergroundworlds:freezing_pickaxe undergroundworlds:frozen_core
undergroundworlds:crafting/freezing_shovel | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:iron_shovel undergroundworlds:freezing_shovel undergroundworlds:frozen_core
undergroundworlds:crafting/freezing_sword | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:iron_sword undergroundworlds:freezing_sword undergroundworlds:frozen_core
undergroundworlds:crafting/ice_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:ice_brick_slab undergroundworlds:ice_bricks
undergroundworlds:crafting/ice_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:ice_brick_stairs undergroundworlds:ice_bricks
undergroundworlds:crafting/ice_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:ice_brick_wall undergroundworlds:ice_bricks
undergroundworlds:crafting/ice_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:packed_ice undergroundworlds:ice_bricks
undergroundworlds:crafting/ice_from_icicle | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:ice undergroundworlds:icicle
undergroundworlds:crafting/mossy_temple_bricks_from_moss_block | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:moss_block undergroundworlds:mossy_temple_bricks undergroundworlds:temple_bricks
undergroundworlds:crafting/mossy_temple_bricks_from_vine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:vine undergroundworlds:mossy_temple_bricks undergroundworlds:temple_bricks
undergroundworlds:crafting/pyramid_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:pyramid_brick_slab undergroundworlds:pyramid_bricks
undergroundworlds:crafting/pyramid_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:pyramid_brick_stairs undergroundworlds:pyramid_bricks
undergroundworlds:crafting/pyramid_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:pyramid_brick_wall undergroundworlds:pyramid_bricks
undergroundworlds:crafting/sandstone_pressure_plate | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cut_sandstone undergroundworlds:sandstone_pressure_plate
undergroundworlds:crafting/spider_boots | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:leather_boots minecraft:string undergroundworlds:spider_boots undergroundworlds:spider_fang
