minecraft:dark_prismarine | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_prismarine minecraft:ink_sac minecraft:prismarine_shard
upgrade_aquatic:acan_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:acan_coral_block upgrade_aquatic:acan_corals
upgrade_aquatic:acan_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:acan_coralstone upgrade_aquatic:acan_coralstone_slab
upgrade_aquatic:acan_coralstone_slab_from_acan_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:acan_coralstone upgrade_aquatic:acan_coralstone_slab
upgrade_aquatic:acan_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:acan_coralstone upgrade_aquatic:acan_coralstone_stairs
upgrade_aquatic:acan_coralstone_stairs_from_acan_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:acan_coralstone upgrade_aquatic:acan_coralstone_stairs
upgrade_aquatic:acan_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:acan_coralstone upgrade_aquatic:acan_coralstone_wall
upgrade_aquatic:acan_coralstone_wall_from_acan_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:acan_coralstone upgrade_aquatic:acan_coralstone_wall
upgrade_aquatic:beachgrass_thatch | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:beachgrass upgrade_aquatic:beachgrass_thatch
upgrade_aquatic:beachgrass_thatch_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:beachgrass_thatch upgrade_aquatic:beachgrass_thatch_slab
upgrade_aquatic:beachgrass_thatch_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:beachgrass_thatch upgrade_aquatic:beachgrass_thatch_stairs
upgrade_aquatic:bedroll | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:leather minecraft:white_wool upgrade_aquatic:bedroll
upgrade_aquatic:boiled_pickerelweed | minecraft:smelting | minecraft:smelting upgrade_aquatic:boiled_pickerelweed upgrade_aquatic:pickerelweed
upgrade_aquatic:boiled_pickerelweed_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:boiled_pickerelweed upgrade_aquatic:boiled_pickerelweed_block
upgrade_aquatic:boiled_pickerelweed_from_boiled_pickerelweed_block | minecraft:crafting_shapeless | minecraft:crafting_shapeless upgrade_aquatic:boiled_pickerelweed upgrade_aquatic:boiled_pickerelweed_block
upgrade_aquatic:boiled_pickerelweed_from_campfire_cooking | minecraft:campfire_cooking | minecraft:campfire_cooking upgrade_aquatic:boiled_pickerelweed upgrade_aquatic:pickerelweed
upgrade_aquatic:boiled_pickerelweed_from_smoking | minecraft:smoking | minecraft:smoking upgrade_aquatic:boiled_pickerelweed upgrade_aquatic:pickerelweed
upgrade_aquatic:bone_meal_from_thrasher_tooth | minecraft:crafting_shapeless | minecraft:bone_meal minecraft:crafting_shapeless upgrade_aquatic:thrasher_tooth
upgrade_aquatic:brain_coral_block | minecraft:crafting_shaped | minecraft:brain_coral_block minecraft:crafting_shaped upgrade_aquatic:brain_corals
upgrade_aquatic:brain_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:brain_coralstone upgrade_aquatic:brain_coralstone_slab
upgrade_aquatic:brain_coralstone_slab_from_brain_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:brain_coralstone upgrade_aquatic:brain_coralstone_slab
upgrade_aquatic:brain_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:brain_coralstone upgrade_aquatic:brain_coralstone_stairs
upgrade_aquatic:brain_coralstone_stairs_from_brain_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:brain_coralstone upgrade_aquatic:brain_coralstone_stairs
upgrade_aquatic:brain_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:brain_coralstone upgrade_aquatic:brain_coralstone_wall
upgrade_aquatic:brain_coralstone_wall_from_brain_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:brain_coralstone upgrade_aquatic:brain_coralstone_wall
upgrade_aquatic:branch_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:branch_coral_block upgrade_aquatic:branch_corals
upgrade_aquatic:branch_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:branch_coralstone upgrade_aquatic:branch_coralstone_slab
upgrade_aquatic:branch_coralstone_slab_from_branch_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:branch_coralstone upgrade_aquatic:branch_coralstone_slab
upgrade_aquatic:branch_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:branch_coralstone upgrade_aquatic:branch_coralstone_stairs
upgrade_aquatic:branch_coralstone_stairs_from_branch_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:branch_coralstone upgrade_aquatic:branch_coralstone_stairs
upgrade_aquatic:branch_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:branch_coralstone upgrade_aquatic:branch_coralstone_wall
upgrade_aquatic:branch_coralstone_wall_from_branch_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:branch_coralstone upgrade_aquatic:branch_coralstone_wall
upgrade_aquatic:bubble_coral_block | minecraft:crafting_shaped | minecraft:bubble_coral_block minecraft:crafting_shaped upgrade_aquatic:bubble_corals
upgrade_aquatic:bubble_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:bubble_coralstone upgrade_aquatic:bubble_coralstone_slab
upgrade_aquatic:bubble_coralstone_slab_from_bubble_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:bubble_coralstone upgrade_aquatic:bubble_coralstone_slab
upgrade_aquatic:bubble_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:bubble_coralstone upgrade_aquatic:bubble_coralstone_stairs
