minecraft:beehive | minecraft:crafting_shaped | minecraft:beehive minecraft:crafting_shaped minecraft:honeycomb minecraft:planks woodworks:config
minecraft:bookshelf | minecraft:crafting_shaped | minecraft:book minecraft:bookshelf minecraft:crafting_shaped minecraft:planks woodworks:config
minecraft:chest | minecraft:crafting_shaped | minecraft:chest minecraft:crafting_shaped minecraft:planks woodworks:config
minecraft:chiseled_bookshelf | minecraft:crafting_shaped | minecraft:chiseled_bookshelf minecraft:crafting_shaped minecraft:planks minecraft:wooden_slabs woodworks:config
minecraft:ladder | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:ladder minecraft:stick woodworks:config
minecraft:lectern | minecraft:crafting_shaped | c:bookshelves minecraft:crafting_shaped minecraft:lectern minecraft:wooden_slabs
minecraft:trapped_chest | minecraft:crafting_shapeless | c:chests/wooden minecraft:crafting_shapeless minecraft:trapped_chest minecraft:tripwire_hook woodworks:config
woodworks:acacia_beehive | minecraft:crafting_shaped | minecraft:acacia_planks minecraft:crafting_shaped minecraft:honeycomb woodworks:acacia_beehive woodworks:config
woodworks:acacia_boards | minecraft:crafting_shaped | minecraft:acacia_slab minecraft:crafting_shaped woodworks:acacia_boards woodworks:config
woodworks:acacia_boards_from_acacia_logs_sawing | woodworks:sawmill | blueprint:and minecraft:acacia_logs woodworks:acacia_boards woodworks:config woodworks:sawmill
woodworks:acacia_boards_from_acacia_planks_sawing | woodworks:sawmill | blueprint:and minecraft:acacia_planks woodworks:acacia_boards woodworks:config woodworks:sawmill
woodworks:acacia_bookshelf | minecraft:crafting_shaped | minecraft:acacia_planks minecraft:book minecraft:crafting_shaped woodworks:acacia_bookshelf woodworks:config
woodworks:acacia_button_from_acacia_logs_sawing | woodworks:sawmill | minecraft:acacia_button minecraft:acacia_logs woodworks:config woodworks:sawmill
woodworks:acacia_button_from_acacia_planks_sawing | woodworks:sawmill | minecraft:acacia_button minecraft:acacia_planks woodworks:config woodworks:sawmill
woodworks:acacia_chest | minecraft:crafting_shaped | minecraft:acacia_planks minecraft:crafting_shaped woodworks:acacia_chest woodworks:config
woodworks:acacia_door_from_acacia_logs_sawing | woodworks:sawmill | minecraft:acacia_door minecraft:acacia_logs woodworks:config woodworks:sawmill
woodworks:acacia_fence_from_acacia_logs_sawing | woodworks:sawmill | minecraft:acacia_fence minecraft:acacia_logs woodworks:config woodworks:sawmill
woodworks:acacia_fence_from_acacia_planks_sawing | woodworks:sawmill | minecraft:acacia_fence minecraft:acacia_planks woodworks:config woodworks:sawmill
woodworks:acacia_fence_gate_from_acacia_logs_sawing | woodworks:sawmill | minecraft:acacia_fence_gate minecraft:acacia_logs woodworks:config woodworks:sawmill
woodworks:acacia_ladder | minecraft:crafting_shaped | minecraft:acacia_planks minecraft:crafting_shaped minecraft:stick woodworks:acacia_ladder woodworks:config
woodworks:acacia_ladder_from_acacia_logs_sawing | woodworks:sawmill | blueprint:and minecraft:acacia_logs woodworks:acacia_ladder woodworks:config woodworks:sawmill
woodworks:acacia_ladder_from_acacia_planks_sawing | woodworks:sawmill | blueprint:and minecraft:acacia_planks woodworks:acacia_ladder woodworks:config woodworks:sawmill
woodworks:acacia_leaf_pile | minecraft:crafting_shapeless | minecraft:acacia_leaves minecraft:crafting_shapeless woodworks:acacia_leaf_pile woodworks:config
woodworks:acacia_leaves_from_acacia_leaf_pile | minecraft:crafting_shaped | minecraft:acacia_leaves minecraft:crafting_shaped woodworks:acacia_leaf_pile woodworks:config
woodworks:acacia_planks_from_acacia_logs_sawing | woodworks:sawmill | minecraft:acacia_logs minecraft:acacia_planks woodworks:config woodworks:sawmill
woodworks:acacia_pressure_plate_from_acacia_logs_sawing | woodworks:sawmill | minecraft:acacia_logs minecraft:acacia_pressure_plate woodworks:config woodworks:sawmill
woodworks:acacia_sign_from_acacia_logs_sawing | woodworks:sawmill | minecraft:acacia_logs minecraft:acacia_sign woodworks:config woodworks:sawmill
woodworks:acacia_slab_from_acacia_logs_sawing | woodworks:sawmill | minecraft:acacia_logs minecraft:acacia_slab woodworks:config woodworks:sawmill
woodworks:acacia_slab_from_acacia_planks_sawing | woodworks:sawmill | minecraft:acacia_planks minecraft:acacia_slab woodworks:config woodworks:sawmill
woodworks:acacia_stairs_from_acacia_logs_sawing | woodworks:sawmill | minecraft:acacia_logs minecraft:acacia_stairs woodworks:config woodworks:sawmill
